INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
Alabama A & M University,AL,1.0,0,215686924.0,7295.0
University of Alabama at Birmingham,AL,1.0,1,1799175467.0,20905.0
Amridge University,AL,4.0,0,7453320.0,639.0
University of Alabama in Huntsville,AL,1.0,0,294828058.0,8564.0
Alabama State University,AL,1.0,0,169904929.0,4081.0
The University of Alabama,AL,1.0,1,1194456940.0,40846.0
Athens State University,AL,1.0,0,48067215.0,2986.0
Auburn University at Montgomery,AL,1.0,0,97913366.0,5217.0
Auburn University,AL,1.0,1,1279424921.0,34145.0
South University-Montgomery,AL,2.0,0,6477912.0,303.0
Faulkner University,AL,4.0,0,51628903.0,3086.0
Herzing University-Birmingham,AL,3.0,0,6849921.0,444.0
Huntingdon College,AL,4.0,0,20932955.0,892.0
Heritage Christian University,AL,4.0,0,3572535.0,178.0
Jacksonville State University,AL,1.0,0,175413319.0,9955.0
University of West Alabama,AL,1.0,0,87981999.0,6820.0
Miles College,AL,4.0,0,25852281.0,1180.0
University of Mobile,AL,4.0,0,21569930.0,1545.0
University of Montevallo,AL,1.0,0,88363282.0,3088.0
University of North Alabama,AL,1.0,0,147573180.0,10204.0
Oakwood University,AL,4.0,0,55882353.0,1226.0
Samford University,AL,4.0,0,172721617.0,6097.0
Selma University,AL,4.0,0,1331705.0,95.0
University of South Alabama,AL,1.0,0,375142000.0,14003.0
Spring Hill College,AL,4.0,0,32333244.0,919.0
Stillman College,AL,4.0,0,18052490.0,731.0
Talladega College,AL,4.0,0,29678697.0,760.0
Troy University,AL,1.0,0,266455752.0,13658.0
Tuskegee University,AL,3.0,0,136794545.0,3121.0
United States Sports University,AL,3.0,0,6469032.0,367.0
University of Alaska Anchorage,AK,1.0,0,294838894.0,10493.0
Alaska Bible College,AK,4.0,0,733551.0,38.0
University of Alaska Fairbanks,AK,1.0,0,501512432.0,6893.0
University of Alaska Southeast,AK,1.0,0,44933924.0,2000.0
Alaska Pacific University,AK,4.0,0,19854666.0,593.0
Charter College,AK,2.0,0,36030742.0,2157.0
Brookline College-Phoenix,AZ,2.0,0,12858326.0,739.0
Arizona State University Campus Immersion,AZ,1.0,1,2933424180.0,79818.0
University of Arizona,AZ,1.0,1,2429315000.0,56365.0
Cochise County Community College District,AZ,1.0,0,59484946.0,3905.0
Eastern Arizona College,AZ,1.0,0,53175861.0,5213.0
Embry-Riddle Aeronautical University-Prescott,AZ,3.0,0,104992000.0,3264.0
The School of Architecture,AZ,3.0,0,777890.0,8.0
Glendale Community College,AZ,1.0,0,115765123.0,13914.0
Grand Canyon University,AZ,2.0,0,1403933414.0,113257.0
GateWay Community College,AZ,1.0,0,47175352.0,5553.0
Mesa Community College,AZ,1.0,0,140921336.0,17077.0
Dine College,AZ,1.0,0,40681000.0,1434.0
Northern Arizona University,AZ,1.0,1,624209206.0,28467.0
Northland Pioneer College,AZ,1.0,0,39838796.0,3158.0
Phoenix College,AZ,1.0,0,91923133.0,10660.0
Pima Medical Institute-Tucson,AZ,2.0,0,33175282.0,2676.0
Prescott College,AZ,3.0,0,17417951.0,867.0
Rio Salado College,AZ,1.0,0,93968586.0,18841.0
Scottsdale Community College,AZ,1.0,0,63839577.0,7065.0
South Mountain Community College,AZ,1.0,0,41453142.0,4516.0
Arizona Christian University,AZ,4.0,0,26626698.0,1421.0
Yavapai College,AZ,1.0,0,83591499.0,7428.0
University of Arkansas at Little Rock,AR,1.0,0,170893006.0,8216.0
University of Arkansas for Medical Sciences,AR,1.0,0,757151000.0,3485.0
Arkansas Baptist College,AR,4.0,0,12893677.0,342.0
Lyon College,AR,4.0,0,33551900.0,659.0
University of Arkansas,AR,1.0,1,921355000.0,33610.0
University of Arkansas at Pine Bluff,AR,1.0,0,78087735.0,2005.0
Arkansas State University,AR,1.0,0,216004112.0,15726.0
Arkansas Tech University,AR,1.0,0,102396716.0,8746.0
University of Arkansas at Monticello,AR,1.0,0,43497250.0,2856.0
University of Central Arkansas,AR,1.0,0,172599079.0,10112.0
Central Baptist College,AR,4.0,0,7193925.0,547.0
Crowley's Ridge College,AR,4.0,0,4020154.0,241.0
Harding University,AR,4.0,0,104829531.0,4696.0
Henderson State University,AR,1.0,0,32993706.0,2055.0
Hendrix College,AR,4.0,0,41609822.0,1110.0
John Brown University,AR,3.0,0,44541567.0,2350.0
Ouachita Baptist University,AR,4.0,0,43295644.0,1858.0
