UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
100654,90,87,91,19,23,17,18,22,16,0,1,0
100663,81,79,82,26,25,26,25,25,25,1,1,0
100706,77,82,72,30,34,25,30,33,25,0,0,1
100724,99,98,99,14,16,13,13,15,13,1,1,1
100751,80,81,80,20,23,19,20,23,19,0,0,0
100830,96,95,96,15,15,15,15,14,15,1,1,0
100858,85,85,85,32,35,30,32,35,29,0,0,0
100937,60,64,58,17,19,15,17,19,15,0,0,0
101189,76,81,71,24,28,20,23,27,19,1,1,1
101365,92,92,92,63,63,63,10,5,13,53,58,49
101435,54,53,56,19,19,19,19,19,19,0,0,0
101453,67,100,0,100,100,,100,100,,0,0,
101480,64,65,63,19,21,18,19,20,17,0,0,0
101541,56,,56,30,,30,30,,30,0,,0
101587,93,89,95,15,19,13,15,19,12,0,1,0
101648,57,65,46,44,48,36,44,48,36,0,0,0
101693,67,70,65,18,20,18,18,20,18,0,0,0
101709,61,61,60,16,18,15,15,17,14,1,1,1
101879,83,84,82,41,43,40,40,42,39,1,1,1
101912,89,97,85,30,33,29,30,33,29,0,0,0
102049,84,81,86,30,31,30,30,31,30,0,0,0
102094,73,70,75,27,28,26,26,28,25,0,1,0
102234,54,53,55,17,20,15,16,20,15,0,0,0
102270,56,52,57,18,21,16,17,21,15,1,0,1
102368,92,92,93,29,31,27,24,25,23,5,6,5
102377,61,61,61,7,8,7,7,8,7,0,0,0
102553,77,77,77,45,42,46,31,30,31,14,12,15
102614,67,64,69,73,79,69,56,63,52,17,16,17
102632,64,72,59,50,50,50,34,35,33,16,16,16
102669,91,83,94,6,8,6,5,5,5,1,3,0
104151,88,86,90,27,28,26,26,27,25,1,1,0
104179,85,83,87,20,19,20,14,15,14,5,5,6
104586,67,67,68,26,27,25,26,27,25,0,0,0
104717,81,86,84,20,21,20,17,17,16,3,3,3
105330,82,79,83,17,18,17,15,15,15,2,3,2
105589,98,98,99,17,21,15,17,21,15,0,0,0
105899,71,71,73,51,51,50,51,51,50,0,0,0
106245,56,58,55,21,26,19,20,25,18,1,1,1
106342,50,47,55,18,19,17,18,19,17,0,0,0
106397,78,76,79,31,33,29,30,33,29,0,0,0
106412,60,56,62,21,23,20,19,20,18,2,3,2
106458,67,63,70,33,35,32,31,33,31,1,2,1
106467,98,97,98,25,29,23,24,28,21,1,1,1
106546,50,100,43,75,0,100,75,0,100,0,0,0
106704,94,91,95,32,35,31,32,34,31,0,0,0
106713,50,49,52,46,42,53,46,42,53,0,0,0
107044,55,55,55,62,65,59,61,65,59,0,0,0
107071,75,74,76,20,29,16,20,28,16,1,1,0
107080,71,69,72,25,27,22,25,27,22,0,0,0
107141,59,66,56,38,41,36,37,41,35,0,1,0
107512,62,57,64,25,28,24,25,28,24,0,0,0
107558,56,56,56,20,24,18,20,24,18,0,0,0
107585,100,100,100,51,52,53,40,42,41,10,10,11
107877,69,65,72,26,33,23,26,33,23,0,0,0
107983,69,69,68,33,41,28,33,41,28,0,1,0
108852,89,92,88,14,22,10,14,22,10,0,0,0
109086,,,,,,,,,,,,
109651,76,68,80,31,36,28,31,36,28,0,0,0
109785,94,92,94,15,15,14,14,15,14,0,1,0
110097,64,62,65,26,28,24,25,28,24,0,0,1
110361,80,79,81,24,26,23,24,26,23,1,0,1
110370,85,81,87,9,13,7,9,13,7,0,0,0
110404,7,5,11,42,45,39,42,45,39,0,0,0
110413,74,73,76,12,14,12,12,13,12,0,0,0
110422,38,35,42,24,26,22,24,26,22,0,0,0
110468,38,40,36,0,0,0,0,0,0,0,0,0
110486,78,73,82,15,12,16,14,12,16,0,0,0
110495,89,86,91,19,18,20,18,18,19,1,1,1
110510,78,74,80,20,20,20,19,19,20,1,1,1
110529,65,60,70,18,20,15,17,20,15,1,1,0
110538,90,88,91,13,14,12,12,14,12,0,1,0
110547,81,77,84,14,15,14,13,13,13,1,2,1
110556,90,88,92,27,27,26,25,25,25,2,2,1
110565,68,63,71,18,17,18,17,16,17,1,1,1
110574,73,69,76,11,11,11,10,11,10,0,0,0
110583,42,40,44,17,18,17,17,17,17,1,1,0
110592,76,71,80,17,18,16,16,17,15,1,1,1
110608,66,62,69,22,25,20,22,24,20,0,0,0
110617,83,80,85,18,18,17,17,18,17,0,0,0
110635,17,15,19,40,43,37,39,43,37,0,0,0
110644,46,41,51,17,16,18,17,15,18,0,0,0
110653,30,30,30,20,20,19,20,20,19,0,0,0
110662,14,13,15,41,38,43,41,38,43,0,0,0
110671,66,65,67,15,15,15,15,15,15,0,0,0
110680,37,36,37,18,19,17,18,18,17,0,0,0
110705,37,35,38,15,14,15,14,14,15,0,0,0
110714,65,65,64,12,14,10,12,13,10,0,0,0
110918,100,,100,100,,100,100,,100,0,,0
111081,27,29,27,25,29,22,23,26,22,1,3,1
111188,82,82,84,23,24,21,23,24,21,0,0,0
111948,58,57,59,19,20,19,19,19,19,0,0,0
111966,25,25,25,30,29,30,29,29,29,1,0,1
112075,78,75,80,12,13,11,12,13,11,0,0,0
112084,50,50,49,26,34,20,25,34,19,0,0,1
112260,13,13,13,44,49,41,44,48,41,0,1,0
112394,42,41,45,45,56,23,29,35,18,15,21,5
113582,100,,100,67,,67,67,,67,0,,0
113698,86,75,92,16,22,13,16,22,13,0,0,0
114354,39,38,39,55,52,55,53,48,54,1,4,1
114390,32,41,31,55,43,58,55,43,58,0,0,0
114813,67,65,68,31,38,28,29,35,27,2,3,1
115409,18,13,29,34,39,30,34,39,30,0,0,0
115728,89,85,91,8,7,8,7,6,8,0,0,0
115755,85,84,86,6,6,7,6,6,6,0,0,0
117104,93,87,97,71,79,67,70,79,65,1,0,1
117140,76,73,79,11,11,10,10,11,10,0,0,0
117168,83,76,85,31,33,30,30,32,30,1,1,0
117283,73,80,67,56,63,50,31,38,25,25,25,25
117627,57,55,58,10,10,10,10,10,10,0,0,0
117751,60,60,60,59,62,56,35,35,34,24,27,22
117946,50,51,50,16,18,14,15,18,13,0,0,0
118198,80,82,80,93,93,93,93,93,93,0,0,0
118693,65,64,65,8,9,7,8,9,7,0,0,0
118888,91,50,91,17,0,17,17,0,17,0,0,0
119173,89,60,91,21,36,20,21,36,20,0,0,0
119270,68,69,66,43,48,31,32,37,19,11,11,12
119605,89,84,95,43,33,52,5,0,10,38,33,43
119775,96,92,100,39,31,45,35,26,43,4,6,2
120166,46,45,50,17,20,0,17,20,0,0,0,0
120254,41,39,42,14,16,13,14,16,13,0,0,0
120403,80,76,82,12,14,11,12,14,11,0,0,0
120537,38,38,39,33,33,32,31,30,31,2,4,1
120661,94,92,94,56,64,55,56,64,55,0,0,0
120768,27,0,29,75,,75,0,,0,75,,75
120865,59,57,60,18,21,16,17,20,16,1,1,1
120883,71,69,71,7,9,6,7,9,6,0,0,0
121150,42,47,40,15,16,14,15,15,14,0,0,0
121257,17,20,15,32,36,29,32,36,29,0,0,0
121309,84,93,80,22,18,25,22,18,25,0,0,0
121345,9,10,8,45,45,44,45,45,44,0,0,0
121691,69,67,70,16,17,15,16,17,15,0,0,0
122409,37,36,37,20,20,20,20,20,20,0,0,0
122436,59,56,60,13,12,13,13,12,13,0,0,0
122454,95,98,94,0,0,0,0,0,0,0,0,0
122506,46,49,43,25,29,20,25,29,20,0,0,0
122597,84,82,85,11,11,10,10,10,10,1,1,0
122612,70,69,71,8,8,7,8,8,7,0,0,0
122728,65,67,64,36,30,39,35,30,39,0,1,0
122755,67,62,72,15,17,14,15,16,14,0,1,0
122931,51,49,52,15,18,13,15,18,13,0,0,0
123165,35,,35,21,,21,20,,20,2,,2
123280,100,100,100,100,100,100,50,50,50,50,50,50
123457,60,60,59,14,16,12,13,15,11,1,1,0
123554,77,78,77,11,11,11,11,11,11,0,0,0
123572,89,87,90,8,7,8,7,7,8,0,0,0
123651,50,50,50,27,28,27,27,28,27,0,0,0
123679,98,100,97,51,53,50,43,49,41,8,4,9
123952,67,62,72,10,15,6,10,15,6,0,0,0
123961,16,17,16,36,35,37,36,35,36,0,0,0
124292,86,92,80,61,68,55,61,68,55,0,0,0
124706,93,88,95,41,44,41,41,44,41,0,0,0
124937,96,99,95,48,54,46,40,50,38,7,4,8
125727,70,69,71,18,20,16,18,20,16,0,0,0
125763,72,68,75,7,7,6,7,7,6,0,0,0
125897,70,69,71,13,13,12,13,13,12,0,0,0
126076,73,73,,100,100,,100,100,,0,0,
126182,100,100,100,21,25,17,19,21,17,2,3,0
126359,24,43,23,100,100,100,100,100,100,0,0,0
126562,66,65,67,22,26,20,20,23,19,2,3,2
126580,90,90,90,16,20,14,15,18,13,1,1,1
126614,84,83,86,17,18,16,17,18,16,0,0,0
126678,14,14,13,39,42,37,39,42,37,0,0,0
126687,94,100,94,63,60,63,63,60,63,0,0,0
126775,55,49,68,18,21,13,18,21,13,0,0,0
126784,86,88,50,77,80,0,77,80,0,0,0,0
126818,84,81,85,19,20,19,18,19,18,1,1,1
127060,61,59,62,10,11,9,10,11,9,0,0,0
127185,92,91,92,25,28,24,25,27,23,1,1,0
127556,75,76,75,30,33,27,28,31,25,2,2,2
127565,83,82,84,20,23,18,16,18,14,5,6,4
127653,100,100,100,18,20,17,16,20,15,1,0,2
127741,88,84,90,17,16,17,17,16,17,0,0,0
127918,78,79,78,10,10,10,10,10,10,0,0,0
127954,86,100,83,67,0,80,67,0,80,0,0,0
128106,94,93,96,28,31,25,26,28,24,2,3,1
128328,13,14,13,78,79,77,78,79,77,0,0,0
128391,88,88,89,18,18,19,18,18,18,0,0,1
128498,81,78,84,13,12,14,13,12,13,0,0,0
128586,71,71,,100,100,,100,100,,0,0,
128744,71,64,75,7,7,7,7,7,7,0,0,0
128771,65,68,62,24,27,21,23,27,20,0,1,0
128902,38,32,42,17,19,15,17,19,15,0,0,0
129020,56,53,59,20,21,19,20,21,19,0,0,0
129215,70,65,73,23,25,22,23,25,22,0,0,0
129242,56,57,55,16,16,15,16,16,15,0,0,0
129525,77,79,76,12,13,11,12,13,11,0,0,0
129774,74,73,75,11,13,9,11,13,9,0,0,0
129941,91,90,92,14,15,13,14,15,13,0,0,0
130110,94,98,93,34,36,33,13,5,17,21,31,16
130226,82,83,82,11,11,11,11,11,11,0,0,0
130253,66,59,69,21,21,20,21,21,20,0,0,0
130314,78,70,81,15,16,15,15,16,15,0,0,0
130493,80,75,83,16,15,17,16,14,16,0,1,0
130590,36,33,39,27,29,25,27,29,24,0,0,0
130624,20,18,25,70,68,74,70,68,74,0,0,0
130697,21,23,20,27,27,28,27,27,28,0,0,0
130776,81,74,86,19,24,16,17,20,14,2,4,1
130794,7,7,6,55,55,55,55,55,55,0,0,0
130934,39,32,43,22,24,22,21,24,21,1,0,1
130943,66,63,68,19,20,18,19,20,18,0,0,0
130989,55,57,54,40,50,31,39,49,31,1,1,0
131098,59,57,60,16,19,14,16,19,14,0,0,0
131159,39,37,40,21,21,21,20,21,20,0,0,0
131283,82,78,85,12,12,12,12,12,12,0,0,0
131450,63,42,92,59,66,54,59,66,53,0,0,1
131469,43,43,43,17,17,18,17,16,18,0,0,0
131496,17,18,16,45,46,44,44,45,43,1,1,1
131520,39,39,38,25,24,26,25,24,26,0,0,0
131830,100,100,100,100,100,100,100,100,100,0,0,0
131876,96,100,96,30,0,30,28,0,28,2,0,2
132408,76,81,70,41,37,45,38,34,42,3,3,3
132471,65,60,68,9,9,9,9,9,9,0,0,0
132602,98,97,98,12,13,11,12,13,11,0,0,0
132657,79,76,80,11,14,9,11,13,9,1,1,0
132842,79,67,80,95,100,94,62,100,60,32,0,34
132879,37,38,36,53,57,46,49,54,38,4,2,8
132903,45,46,45,37,39,36,35,37,34,2,2,2
133492,69,64,71,15,14,15,15,14,15,0,0,0
133526,57,55,58,9,13,7,9,13,7,0,0,0
133553,61,61,61,26,26,26,26,26,26,0,0,0
133650,33,32,34,33,40,31,32,38,30,1,2,1
133669,75,73,76,22,24,22,16,16,16,7,8,6
133711,56,63,54,20,20,19,20,20,19,0,0,0
133809,76,77,76,71,67,74,68,64,72,2,2,2
133845,91,94,91,49,40,50,40,40,41,9,0,9
133854,94,97,93,57,70,54,57,70,54,0,0,0
133863,94,100,94,52,44,52,52,44,52,0,0,0
133872,91,89,91,41,46,40,34,37,34,7,10,7
133881,70,71,69,10,11,8,10,11,8,0,0,0
133951,58,58,58,38,42,36,28,29,27,11,13,9
133979,38,39,38,20,32,12,19,30,12,1,3,1
134079,50,52,49,15,17,14,15,17,14,0,0,0
134097,32,33,32,29,29,29,29,29,29,0,1,0
134130,31,30,32,42,43,42,42,42,42,0,0,0
134945,78,78,77,12,14,11,12,14,11,0,0,0
135081,97,98,97,51,49,51,35,34,35,16,14,17
135364,44,36,75,75,80,67,0,0,0,75,80,67
135726,33,38,30,18,18,18,18,18,18,0,0,0
136172,80,78,81,21,23,19,20,22,18,1,1,1
136215,92,92,93,16,17,16,16,17,16,0,0,0
136330,92,90,93,36,40,35,36,39,34,1,1,0
136774,69,65,70,26,26,26,26,26,26,0,0,0
136950,61,58,63,14,15,13,14,15,13,0,0,0
137032,73,73,73,18,19,17,17,18,17,0,1,0
137272,92,92,,83,83,,83,83,,0,0,
137351,49,50,49,30,32,29,29,30,28,1,1,1
137476,60,58,61,14,21,8,14,21,8,0,0,0
137546,81,80,83,9,9,8,9,9,8,0,0,0
137564,43,46,41,52,54,51,49,50,48,3,4,3
137847,56,60,53,15,15,15,15,15,15,0,0,0
137953,67,61,78,72,77,66,67,70,64,5,7,2
137962,50,52,47,68,68,69,62,65,56,6,3,13
138275,54,55,53,35,37,34,34,36,32,1,0,2
138293,38,37,39,23,24,20,23,24,20,0,0,0
138354,58,57,58,29,33,26,24,27,22,5,6,4
138558,76,78,74,51,52,51,45,46,45,6,6,6
138600,68,,68,22,,22,22,,22,0,,0
138716,73,72,74,26,30,24,22,25,20,4,5,4
138761,59,62,56,28,34,23,28,34,23,0,0,0
138868,35,36,34,42,50,33,40,48,32,2,2,1
138947,59,52,61,9,9,8,8,8,8,0,0,0
139144,77,74,79,19,21,18,19,21,18,0,0,0
139199,93,86,94,17,13,17,15,9,16,1,3,1
139205,98,98,99,48,51,42,47,51,41,0,0,1
139250,96,96,96,29,31,29,23,24,23,6,7,6
139311,69,66,70,49,48,50,43,41,44,6,7,6
139366,78,77,79,33,37,31,29,31,28,4,5,3
139393,98,97,98,35,37,33,35,37,33,0,0,0
139630,53,54,52,43,49,36,43,49,36,1,1,0
139658,19,20,19,25,25,25,25,25,25,0,0,0
139719,72,84,67,24,25,24,21,22,21,3,4,3
139755,21,18,27,37,38,37,37,38,36,0,0,0
139764,73,72,74,25,29,24,24,27,23,1,1,1
139861,86,84,87,35,37,35,35,36,34,0,0,0
139931,91,89,93,34,38,32,33,36,31,1,2,1
139940,100,100,100,32,35,30,30,33,28,2,2,1
139959,48,44,51,41,42,41,41,42,41,0,0,0
139968,79,79,79,37,46,32,31,37,27,7,9,5
140234,60,57,65,18,17,19,18,17,19,0,0,0
140252,97,98,95,47,49,44,46,49,44,0,0,1
140340,92,94,92,74,73,75,45,60,42,29,13,32
140447,78,80,77,20,23,18,20,23,18,0,0,0
140553,77,77,,21,21,,21,21,,1,1,
140696,67,67,67,26,27,26,26,27,26,0,0,0
140720,75,68,78,1,2,1,1,1,1,0,1,0
140818,70,70,70,24,26,24,24,26,24,0,0,0
140872,99,98,99,26,30,23,26,29,22,0,0,0
140951,78,76,79,19,21,18,17,18,16,2,3,2
140960,46,44,47,16,19,14,15,18,14,1,1,1
140988,71,73,69,28,28,27,27,27,27,0,0,0
141060,53,,53,12,,12,12,,12,0,,0
141167,35,41,30,31,35,27,27,31,23,4,4,4
141185,58,55,59,32,34,30,30,33,29,1,1,1
141237,97,97,97,40,45,35,39,44,34,1,1,1
141264,78,77,79,34,37,32,30,32,29,4,4,3
141325,60,,60,20,,20,20,,20,0,,0
141334,78,72,81,35,37,35,33,33,33,3,3,2
141361,65,64,66,23,24,23,23,24,23,0,0,0
141486,89,88,89,18,24,16,17,23,15,1,0,1
141565,74,75,73,20,24,18,19,23,17,1,1,1
141574,84,83,84,20,25,17,18,23,16,1,2,1
141644,81,79,82,8,8,8,8,8,8,0,0,0
141981,95,92,97,34,37,33,29,32,28,5,5,5
142090,90,90,91,55,54,57,53,54,52,2,0,5
142115,77,75,79,24,23,24,23,22,23,1,1,1
142285,74,70,78,19,20,19,19,19,18,0,0,0
142294,48,49,48,15,18,13,15,18,13,0,0,0
142328,100,100,100,31,29,32,29,27,30,2,1,2
142461,77,77,77,13,15,12,13,15,12,0,0,0
142522,97,96,98,49,51,48,40,40,40,9,11,8
142957,,,,,,,,,,,,
143048,78,72,80,9,10,9,8,9,8,0,1,0
143084,57,58,57,14,16,12,14,16,12,0,0,0
143118,84,84,84,32,31,33,32,31,33,0,0,0
143288,55,52,58,29,34,26,29,34,26,0,0,0
143358,73,74,73,14,16,12,14,16,12,0,0,0
143978,0,0,0,,,,,,,,,
144005,46,40,50,8,7,9,7,7,8,1,1,1
144050,7,8,7,74,75,72,74,75,72,0,0,0
144281,90,86,92,25,28,24,25,28,23,0,0,0
144351,79,77,80,7,8,6,7,8,6,0,0,0
144740,70,69,71,14,16,13,14,16,13,0,0,0
144892,56,54,57,18,18,18,18,18,18,0,0,0
144962,66,63,68,17,16,17,17,16,17,0,0,0
144971,61,58,67,20,19,20,19,19,20,0,0,0
145239,50,64,48,47,57,45,47,57,45,0,0,0
145336,48,44,49,31,29,31,30,28,30,1,1,1
145354,89,100,86,75,100,67,63,50,67,13,50,0
145372,59,56,65,13,14,11,13,14,11,0,0,0
145497,83,100,75,80,100,67,80,100,67,0,0,0
145600,73,70,74,21,23,20,21,22,20,1,1,0
145619,61,59,63,22,28,17,22,27,17,0,0,0
145637,63,58,70,27,28,27,27,28,26,0,0,0
145646,57,58,56,20,23,17,20,23,17,0,0,0
145691,75,71,79,10,12,9,10,12,9,0,0,0
145725,61,59,64,17,17,16,17,17,16,0,0,0
145813,81,81,82,27,28,26,26,28,26,0,0,0
146339,57,50,77,26,23,31,25,22,31,0,0,0
146427,71,67,75,12,12,13,12,12,13,0,0,0
146481,58,52,62,15,15,15,15,15,15,0,0,0
146612,66,66,66,14,18,12,14,18,12,0,0,0
146676,70,68,72,23,27,19,23,26,19,0,0,0
146719,71,67,72,12,12,12,12,12,12,0,0,0
146755,,,,,,,,,,,,
147013,70,66,75,27,30,24,27,30,24,0,0,0
147129,88,100,86,71,0,83,43,0,50,29,0,33
147244,71,65,77,18,20,16,18,20,16,0,0,0
147341,69,64,76,13,13,12,13,13,12,0,0,0
147369,98,98,97,60,64,56,54,57,51,6,7,5
147536,97,98,97,17,16,18,16,15,17,1,1,2
147660,53,54,52,14,16,13,14,16,13,0,0,0
147679,44,42,45,17,18,16,17,18,16,0,0,0
147703,59,58,60,21,23,19,20,23,18,0,1,0
147767,9,9,10,52,52,52,52,52,52,0,0,0
147776,61,54,65,13,13,13,12,12,12,1,1,1
147828,67,74,75,18,20,20,18,20,20,0,0,0
148016,93,95,92,70,69,71,70,69,71,0,0,0
148131,67,66,69,26,32,21,26,32,21,0,0,0
148405,51,48,55,21,17,26,21,17,26,0,0,0
148487,77,82,73,12,16,10,12,15,10,0,0,0
148496,76,75,77,14,13,15,14,13,15,0,0,0
148584,60,55,63,18,21,17,18,21,17,0,0,0
148627,79,75,81,11,12,10,11,12,10,0,0,0
148654,77,74,79,11,15,9,10,14,9,0,0,0
149028,100,100,100,67,100,50,67,100,50,0,0,0
149222,92,91,93,24,27,22,23,27,21,1,1,1
149231,85,87,84,21,24,19,20,23,18,1,1,1
149310,89,90,88,79,84,73,79,84,73,0,0,0
149329,100,100,,100,100,,100,100,,0,0,
149505,64,60,66,23,23,23,23,23,23,0,0,0
149514,86,82,95,42,43,41,42,43,41,0,0,0
149639,100,100,100,43,57,36,43,57,36,0,0,0
149772,67,65,68,21,21,21,21,21,20,0,0,0
149781,87,84,89,31,32,29,31,32,29,0,0,0
150066,67,69,67,13,16,11,12,16,10,0,0,0
150136,87,83,89,20,23,19,20,22,19,0,0,0
150145,93,94,92,24,29,21,24,29,21,0,0,0
150163,76,76,75,10,9,11,10,9,11,0,0,0
150400,68,65,72,10,12,9,10,12,9,0,0,0
150455,59,53,65,11,12,11,11,12,11,0,0,0
150534,64,64,64,13,14,12,13,14,12,0,0,0
150604,76,73,79,19,23,15,19,23,15,0,0,0
150668,92,92,92,22,25,21,22,25,20,0,0,0
150677,75,70,77,14,20,12,14,20,12,0,0,0
150756,69,70,69,15,17,13,15,17,13,0,0,0
150774,77,76,78,40,41,39,40,41,39,0,0,0
150941,78,76,79,30,31,30,28,25,29,3,5,1
151102,83,83,82,30,35,27,29,34,26,1,1,1
151111,79,76,80,30,30,30,28,28,29,2,2,1
151263,84,76,90,14,15,14,14,15,14,0,0,0
151290,63,58,68,21,26,17,21,25,17,0,0,0
151306,94,92,95,33,36,32,32,35,31,1,1,0
