UNITID,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM 
100654,9744,10024,10024,10024,24234,24234,32844,24234,24234,32844,15064,15064,23674
100663,8568,8568,8568,8568,27630,27630,39462,27630,27630,39462,15323,15323,27155
100706,10714,11122,11338,11488,28708,28708,41104,28708,28708,41104,17944,17944,30340
100724,11068,11068,11068,11068,22110,22110,30438,25118,25118,33446,17798,17798,26126
100751,10780,10780,11620,11620,31024,31024,50494,31024,31024,50494,18162,18162,37632
100760,4740,4870,4930,4930,.,.,.,20528,20528,24218,10290,10290,13980
100830,8404,8620,8860,8860,21258,21258,31218,24186,24186,34146,13890,13890,23850
100858,11276,11492,11796,11826,33650,33650,53810,33650,33650,53810,19054,19054,39214
100937,17650,18238,18900,20100,37470,37470,37470,33790,33790,33790,25790,25790,25790
101028,4738,4860,4920,3936,.,.,.,12236,12236,15428,6736,6736,9928
101116,17014,17014,17014,17014,.,.,.,33088,33088,33088,23261,23261,23261
101143,4740,4800,4860,4860,.,.,.,13906,13906,17596,8506,8506,12196
101161,4740,4800,4860,4860,16667,16667,20657,17082,17082,21072,10767,10767,14757
101189,21690,22310,22990,23490,37590,37590,37590,37590,37590,37590,29690,29690,29690
101240,3840,3888,3936,3936,12660,12660,15612,12952,12952,15904,8452,8452,11404
101286,4680,4740,4800,4800,.,.,.,16450,16450,20440,7000,7000,10990
101295,4740,4800,4860,4860,17520,17520,21210,24700,24700,28390,12620,12620,16310
101301,4440,4500,4560,4560,.,.,.,15460,15460,19150,8060,8060,11750
101365,14000,14200,14200,14200,.,.,.,28645,28645,28645,16801,16801,16801
101435,27400,27400,27900,27900,40728,40728,40728,39728,39728,39728,30268,30268,30268
101453,11232,11532,11532,11632,20983,20983,20983,31127,31127,31127,16223,16223,16223
101462,4710,4770,4830,4830,.,.,.,15930,15930,19620,9230,9230,12920
101471,5328,5400,5472,5472,.,.,.,.,.,.,.,.,.
101480,8760,11120,11120,11120,22633,22633,32353,24923,24923,34643,17128,17128,26848
101505,5730,5790,5850,4920,.,.,.,26297,26297,29987,11231,11231,14921
101514,4820,4880,4940,4940,.,.,.,15290,15290,18980,10790,10790,14480
101569,4740,4800,4860,4860,14920,14920,18610,20527,20527,24217,12967,12967,16657
101587,10040,10990,10990,10990,23305,23305,32405,22911,22911,32011,15711,15711,24811
101602,4740,4800,4860,4620,14987,14987,18677,18887,18887,22577,9437,9437,13127
101648,9418,9418,9418,9218,18368,18368,24368,.,.,.,.,.,.
101675,12132,12464,12714,12714,23144,23144,23144,26801,26801,26801,15956,15956,15956
101693,23230,23860,24310,24855,41493,41493,41493,40455,40455,40455,31455,31455,31455
101709,12760,13708,13710,13710,27846,27846,40866,27720,27720,40740,18110,18110,31130
101736,4711,4771,4831,4831,.,.,.,16301,16301,19991,9491,9491,13181
101879,10142,10620,10620,10620,22886,22886,32486,22886,22886,32486,14920,14920,24520
101897,4740,4800,4860,4860,.,.,.,13160,13160,17150,9660,9660,13650
101912,19792,19990,19990,19990,38564,38564,38564,42400,42400,42400,29190,29190,29190
101994,4800,4860,4920,4890,.,.,.,12515,12515,16205,7515,7515,11205
102030,4740,4800,4860,4860,.,.,.,16010,16010,19700,9560,9560,13250
102049,31650,32850,34198,35360,52514,52514,52514,53100,53100,53100,41700,41700,41700
102067,4467,4541,4560,4587,.,.,.,19637,19637,23327,9907,9907,13597
102076,4800,4950,5344,5344,16693,16693,20629,19593,19593,23529,12018,12018,15954
102094,8396,8396,8396,8756,22968,22968,31224,23838,23838,32094,14818,14818,23074
102234,39464,40648,41868,21100,37004,37004,37004,41526,41526,41526,26012,26012,26012
102270,11092,11292,11292,11392,28052,28052,28052,28052,28052,28052,17998,17998,17998
102298,13571,13846,13866,13886,27720,27720,27720,21986,21986,21986,18786,18786,18786
102313,4650,4710,4770,4770,.,.,.,15720,15720,19410,10770,10770,14460
102368,8908,8908,8908,9312,22977,22977,32289,25720,25720,35032,15378,15378,24690
102377,22170,22614,22614,22614,41924,41924,41924,42135,42135,42135,29281,29281,29281
102395,16418,16418,16418,16418,.,.,.,38484,38484,38484,20424,20424,20424
102429,5086,5150,5214,5214,16806,16806,20742,20752,20752,24688,13102,13102,17038
102553,7977,8103,8622,8622,30880,30880,47486,29573,29573,46179,19705,19705,36311
102580,9600,9700,9700,10900,20856,20856,20856,26314,26314,26314,16146,16146,16146
102614,6657,7080,7176,7248,22438,22438,36574,25548,25548,39684,13498,13498,27634
102632,7092,6696,6960,6960,20608,20608,34744,22948,22948,37084,12076,12076,26212
102669,20760,20760,20760,20760,34670,34670,34670,43870,43870,43870,26370,26370,26370
102845,22655,18161,18711,17289,.,.,.,32810,32810,32810,25515,25515,25515
104151,10822,11338,11338,11348,29774,29774,47864,27034,27034,45124,17060,17060,35150
104160,2720,2780,2840,2900,18583,18583,27133,18951,18951,27501,13371,13371,21921
104179,12467,12711,12736,12736,30686,30686,55208,30136,30136,54658,17236,17236,41758
104346,2580,2580,2580,2580,14280,14280,16860,13980,13980,16560,6980,6980,9560
104425,2040,2112,2184,2184,14137,14137,18193,19482,19482,23538,7410,7410,11466
104577,2700,2700,2700,2160,16026,16026,22986,21000,21000,27960,8058,8058,15018
104586,35654,36708,37864,38966,58036,58036,58036,58036,58036,58036,45300,45300,45300
104708,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
104717,17050,17800,17800,17800,32100,32100,32100,32100,32100,32100,24300,24300,24300
105145,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
105154,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
105206,2112,2112,2112,2136,.,.,.,14576,14576,19448,6616,6616,11488
105297,1410,1410,1410,1410,12700,12700,12700,14680,14680,14680,10070,10070,10070
105330,11564,11896,11896,11896,28854,28854,43600,28430,28430,43176,17516,17516,32262
105349,2256,2380,2428,2428,.,.,.,17404,17404,24826,9328,9328,16750
105428,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
105525,2142,2190,2250,2250,.,.,.,17034,17034,22350,7254,7254,12570
105589,31485,32553,33669,34701,47162,47162,47162,45804,45804,45804,37642,37642,37642
105668,2070,2070,2070,2070,.,.,.,14542,14542,20326,6990,6990,12774
105747,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
105792,2070,2070,2070,2070,.,.,.,22506,22506,28290,14010,14010,19794
105899,26796,27890,29250,30624,49424,49424,49424,49424,49424,49424,38424,38424,38424
106148,2360,2492,2600,2600,16502,16502,23234,17656,17656,24388,6124,6124,12856
106245,9544,9544,8366,8366,24837,24837,35428,28733,28733,39324,15290,15290,25881
106306,8760,8760,8760,8760,23060,23060,23060,22014,22014,22014,14234,14234,14234
106342,28790,29140,29415,30414,45144,45144,45144,45494,45494,45494,34764,34764,34764
106397,9130,9384,9384,9574,26978,26978,43794,26978,26978,43794,15036,15036,31852
106412,8038,8248,8248,8398,21748,21748,28618,19012,19012,25882,14154,14154,21024
106449,2880,2928,2928,2928,16836,16836,18564,21448,21448,23176,12258,12258,13986
106458,8607,8900,7315,7130,22653,22653,28221,23703,23703,29271,13258,13258,18826
106467,7254,7668,7668,7900,21421,21421,27157,27125,27125,32861,13414,13414,19150
106485,7696,7909,7909,8029,20203,20203,26053,21739,21739,27589,14215,14215,20065
106546,10439,11032,11750,12598,.,.,.,35567,35567,35567,23937,23937,23937
106625,3168,3216,4118,4118,.,.,.,16818,16818,19050,11337,11337,13569
106704,8752,9188,9338,9563,23651,23651,30521,25219,25219,32089,17409,17409,24279
106713,16200,17400,17100,17400,28866,28866,28866,27934,27934,27934,21684,21684,21684
106795,3450,3510,3570,3570,.,.,.,18300,18690,19140,8347,8737,9187
106810,13600,13900,14500,15250,25450,25450,25450,26550,26550,26550,18650,18650,18650
106883,2880,2925,2925,2820,.,.,.,17040,17340,17940,9790,10090,10690
106980,3750,4550,4550,4550,15242,15692,16922,20150,20600,21830,8396,8846,10076
106999,2526,2526,2526,2526,.,.,.,17449,17785,18361,11599,11935,12511
107044,19845,20735,21540,22230,34538,34538,34538,34538,34538,34538,26820,26820,26820
107071,6849,7149,7392,7560,27094,27094,29302,26265,26265,28473,17953,17953,20161
107080,45790,47600,49490,33350,50550,50550,50550,47304,47304,47304,37350,37350,37350
107141,26928,27668,28288,28924,42128,42128,42128,35074,35074,35074,32574,32574,32574
107318,2674,2746,2746,2746,.,.,.,18611,19091,20051,9142,9622,10582
107327,2318,2346,2374,2458,.,.,.,15885,16165,17565,8136,8416,9816
107460,2280,2352,3090,3090,.,.,.,19919,20669,22769,10957,11707,13807
107488,4240,5075,5184,4450,.,.,.,12218,12218,12218,9750,9750,9750
107512,26790,27900,29120,30140,43950,43950,43950,44910,44910,44910,34790,34790,34790
107521,3112,3256,3264,3458,.,.,.,16466,16466,18890,6784,6784,9208
107549,3004,3004,3004,3004,15344,15344,17696,15959,15959,18311,8404,8404,10756
107558,24230,24950,25950,24950,36350,36350,36350,36350,36350,36350,28350,28350,28350
107585,3140,3216,3216,3216,.,.,.,21648,21888,22560,10746,10986,11658
107600,13014,13014,13014,13014,26212,26212,26212,31724,31724,31724,19236,19236,19236
107619,2930,3020,3020,3020,.,.,.,15320,15710,17210,9470,9860,11360
107637,3855,3855,3855,3855,.,.,.,15708,15708,18588,9111,9111,11991
107664,5252,5670,5670,5670,.,.,.,22056,22056,23286,12864,12864,14094
107725,2830,2980,2980,3070,.,.,.,20212,20482,21532,8961,9231,10281
107743,2880,3072,3072,3240,15186,15522,15762,15969,16305,16545,8220,8556,8796
107840,5500,5596,5596,5596,.,.,.,21240,21240,21240,9760,9760,9760
107877,17320,18058,18500,18570,31390,31390,31390,31470,31470,31470,23620,23620,23620
107974,2700,2700,2748,2700,.,.,.,19361,19673,21473,9458,9770,11570
107983,8756,9080,9080,9410,24782,24782,30002,26411,26411,31631,17782,17782,23002
107992,4977,4977,4571,4420,15396,15396,17186,18851,18851,20641,12790,12790,14580
108092,5593,5754,5900,5754,22128,22128,29400,23548,23548,30820,12658,12658,19930
108232,22308,23412,24664,25424,49222,49222,49222,48772,48772,48772,31032,31032,31032
108667,1254,1257,1167,1148,.,.,.,31734,31734,39270,9668,9668,17204
108807,1352,1352,1188,1146,.,.,.,23285,23285,29981,7032,7032,13728
108852,35160,36190,37230,37230,53175,53175,53175,59040,59040,59040,44100,44100,44100
109086,29560,30456,30800,30800,.,.,.,51676,51676,51676,37006,37006,37006
109208,1104,1104,1288,1288,.,.,.,24508,24508,33388,6686,6686,15566
109350,1124,1124,1124,1124,.,.,.,14824,14824,20680,6641,6641,12497
109651,43416,44932,46486,48044,.,.,.,72066,72066,72066,58536,58536,58536
109785,38880,40220,41410,41510,55598,55598,55598,64752,64752,64752,47012,47012,47012
109819,1325,1325,1418,1430,.,.,.,24569,24569,32519,6830,6830,14780
109907,1104,1104,1104,1104,.,.,.,24243,24243,32091,6504,6504,14352
110060,8095,8095,8580,6560,.,.,.,24366,24366,24366,11766,11766,11766
110097,40488,41976,43512,44382,59500,59500,59500,59500,59500,59500,49298,49298,49298
110219,11025,10075,12166,12125,.,.,.,23749,23749,23749,16745,16745,16745
110246,1368,1368,1368,1368,.,.,.,21564,21564,28044,6480,6480,12960
110334,1270,1270,1270,1262,.,.,.,29009,29009,36377,8228,8228,15596
110361,33478,34882,36340,37018,51914,51914,51914,60240,60240,60240,42500,42500,42500
110370,49148,51092,51137,52312,76379,76379,76379,73634,73634,73634,58212,58212,58212
110404,52362,54600,56862,58680,79947,79947,79947,82122,82122,82122,64383,64383,64383
110413,42692,44382,45982,46012,65186,65186,65186,69251,69251,69251,51512,51512,51512
110422,9816,9943,10071,10195,29680,29680,47590,29680,29680,47590,13348,13348,31258
110468,14600,14880,13680,13680,.,.,.,37386,37386,37386,20214,20214,20214
