UNITID,ASCDEG,BASDEG,MASDEG,DOCDEGRS,DOCDEGPP,DOCDEGOT,CERT1,CERT1A,CERT1B,CERT2,CERT4,PBACERT,PMACERT,SASCDEG,SBASDEG,SMASDEG,SDOCDEG,SCERT1A,SCERT1B,SCERT24,SBAMACRT
100654,0,511,249,9,0,0,0,0,0,0,0,0,0,0,511,249,9,0,0,0,0
100663,0,2785,2512,166,504,0,25,0,25,71,0,240,31,0,2751,2495,670,0,25,71,255
100690,38,54,96,20,0,0,0,0,0,0,0,0,0,38,54,96,20,0,0,0,0
100706,0,1624,570,41,19,0,21,0,21,0,0,29,6,0,1599,570,60,0,21,0,35
100724,0,480,119,2,22,0,0,0,0,0,0,0,2,0,480,119,24,0,0,0,2
100751,0,6741,2180,215,181,0,0,0,0,0,6,19,92,0,6655,2164,396,0,0,6,110
100760,221,.,.,.,.,.,280,0,280,59,0,.,.,221,.,.,.,0,180,59,.
100812,0,738,80,0,0,0,22,0,22,0,0,1,0,0,738,80,0,0,22,0,1
100830,0,672,300,0,1,0,6,0,6,0,0,7,24,0,672,300,1,0,6,0,31
100858,0,5653,1415,284,271,0,8,0,8,0,0,336,39,0,5568,1376,555,0,8,0,367
100937,0,263,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0
101028,227,.,.,.,.,.,356,0,356,63,0,.,.,223,.,.,.,0,324,62,.
101116,44,31,17,0,1,0,0,0,0,0,0,0,0,44,31,17,1,0,0,0,0
101143,233,.,.,.,.,.,62,0,62,152,0,.,.,214,.,.,.,0,57,102,.
101161,849,.,.,.,.,.,422,0,422,244,0,.,.,830,.,.,.,0,325,232,.
101189,10,448,347,0,44,0,0,0,0,0,0,0,0,10,448,347,44,0,0,0,0
101240,691,.,.,.,.,.,482,0,482,349,0,.,.,666,.,.,.,0,326,308,.
101277,0,.,.,.,.,.,0,0,0,44,0,.,.,0,.,.,.,0,0,44,.
101286,458,.,.,.,.,.,395,0,395,165,0,.,.,456,.,.,.,0,358,165,.
101295,911,.,.,.,.,.,1253,0,1253,337,0,.,.,908,.,.,.,0,923,334,.
101301,229,.,.,.,.,.,18,0,18,82,0,.,.,187,.,.,.,0,18,78,.
101365,90,16,2,0,0,0,30,0,30,107,0,0,0,90,16,2,0,0,30,107,0
101435,0,204,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0
101453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0
101462,75,.,.,.,.,.,62,0,62,30,0,.,.,75,.,.,.,0,38,28,.
101471,0,.,.,.,.,.,557,0,557,74,0,.,.,0,.,.,.,0,376,72,.
101480,0,1415,492,7,36,0,0,0,0,0,0,8,57,0,1415,492,43,0,0,0,65
101505,1217,.,.,.,.,.,241,0,241,194,0,.,.,1216,.,.,.,0,214,187,.
101514,1358,.,.,.,.,.,1737,0,1737,173,0,.,.,1350,.,.,.,0,1391,173,.
101569,303,.,.,.,.,.,165,0,165,141,0,.,.,303,.,.,.,0,161,140,.
101587,41,397,1214,14,0,0,0,0,0,0,0,0,183,41,397,1214,14,0,0,0,183
101602,301,.,.,.,.,.,180,0,180,60,0,.,.,298,.,.,.,0,171,60,.
101648,88,.,.,.,.,.,0,0,0,0,0,.,.,88,.,.,.,0,0,0,.
101675,0,186,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0
101693,3,210,96,5,0,0,0,0,0,0,0,0,0,3,210,96,5,0,0,0,0
101709,0,414,126,0,0,0,0,0,0,0,0,0,14,0,414,126,0,0,0,0,14
101736,397,.,.,.,.,.,850,1,849,196,0,.,.,393,.,.,.,1,678,196,.
101879,0,1116,796,0,0,0,9,0,9,0,0,31,45,0,1111,796,0,0,6,0,76
101897,446,.,.,.,.,.,609,0,609,72,0,.,.,414,.,.,.,0,521,52,.
101912,0,226,21,0,0,0,0,0,0,0,0,0,0,0,226,20,0,0,0,0,0
101994,29,.,.,.,.,.,26,0,26,64,0,.,.,29,.,.,.,0,26,64,.
102030,292,.,.,.,.,.,244,0,244,115,0,.,.,291,.,.,.,0,244,115,.
102049,0,838,342,25,403,0,0,0,0,0,0,19,12,0,835,342,427,0,0,0,31
102058,4,5,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
102067,572,.,.,.,.,.,145,0,145,136,0,.,.,565,.,.,.,0,129,135,.
102076,395,.,.,.,.,.,214,0,214,31,0,.,.,394,.,.,.,0,173,27,.
102094,0,1868,1197,44,273,0,64,28,36,19,0,24,160,0,1859,1196,317,28,30,19,180
102234,0,209,54,0,0,0,9,0,9,0,0,21,0,0,209,54,0,0,9,0,21
102270,0,100,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
102298,0,153,8,0,0,0,0,0,0,0,0,0,0,0,153,8,0,0,0,0,0
102313,208,.,.,.,.,.,53,0,53,28,0,.,.,208,.,.,.,0,40,28,.
102368,268,2273,1204,3,23,0,0,0,0,0,0,22,52,268,2273,1204,26,0,0,0,74
102377,0,402,67,7,47,0,0,0,0,0,0,0,0,0,402,67,54,0,0,0,0
102395,0,11,25,0,0,16,0,0,0,0,0,0,0,0,11,25,16,0,0,0,0
102429,436,.,.,.,.,.,570,0,570,194,0,.,.,434,.,.,.,0,454,194,.
102553,581,893,172,3,1,0,159,0,159,42,0,44,0,579,892,172,4,0,152,37,44
102580,1,4,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0
