UNITID,ASCDEG,BASDEG,MASDEG,DOCDEGRS,DOCDEGPP,DOCDEGOT,CERT1,CERT1A,CERT1B,CERT2,CERT4,PBACERT,PMACERT,SASCDEG,SBASDEG,SMASDEG,SDOCDEG,SCERT1A,SCERT1B,SCERT24,SBAMACRT
100654,0,511,217,3,0,0,0,0,0,0,0,0,0,0,511,217,3,0,0,0,0
100663,0,2937,2678,163,529,0,35,0,35,56,0,268,31,0,2897,2664,692,0,35,56,267
100690,27,40,87,17,0,0,0,0,0,0,0,0,0,27,40,87,17,0,0,0,0
100706,0,1624,612,36,27,0,9,0,9,0,0,27,4,0,1593,612,63,0,9,0,31
100724,0,475,100,4,22,0,0,0,0,0,0,0,1,0,471,100,26,0,0,0,1
100751,0,6505,2162,245,191,0,0,0,0,0,5,23,100,0,6409,2146,436,0,0,5,123
100760,144,,,,,,142,0,142,73,0,,,144,,,,0,90,73,
100812,0,707,115,0,0,0,19,0,19,0,0,3,0,0,707,115,0,0,19,0,3
100830,0,704,512,0,3,0,4,0,4,0,0,7,36,0,704,512,3,0,4,0,40
100858,0,5643,1471,306,284,0,9,0,9,0,0,373,44,0,5552,1416,590,0,9,0,406
100937,0,278,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0
101028,217,,,,,,269,0,269,75,0,,,216,,,,0,246,75,
101116,32,42,22,0,0,0,0,0,0,0,0,0,0,32,42,22,0,0,0,0,0
101143,204,,,,,,41,0,41,185,0,,,195,,,,0,36,115,
101161,883,,,,,,471,0,471,254,0,,,869,,,,0,401,251,
101189,10,436,319,0,37,0,0,0,0,0,0,0,0,10,436,319,37,0,0,0,0
101240,721,,,,,,718,0,718,401,0,,,714,,,,0,522,345,
101277,0,,,,,,0,0,0,40,0,,,0,,,,0,0,40,
101286,430,,,,,,405,0,405,142,0,,,425,,,,0,366,142,
101295,916,,,,,,1240,0,1240,359,0,,,907,,,,0,925,359,
101301,270,,,,,,9,0,9,155,0,,,200,,,,0,7,122,
101365,84,11,5,0,0,0,38,0,38,111,0,0,1,84,11,5,0,0,38,111,1
101435,0,173,5,0,0,0,0,0,0,0,0,0,0,0,173,5,0,0,0,0,0
101453,1,10,14,0,0,0,0,0,0,0,0,0,0,1,10,14,0,0,0,0,0
101462,86,,,,,,83,0,83,30,0,,,86,,,,0,52,30,
101471,0,,,,,,989,0,989,50,0,,,0,,,,0,670,50,
101480,0,1409,515,3,35,0,0,0,0,0,0,22,26,0,1409,515,38,0,0,0,48
101505,1042,,,,,,262,0,262,207,0,,,1031,,,,0,239,203,
101514,1463,,,,,,1753,0,1753,184,0,,,1451,,,,0,1435,184,
101569,322,,,,,,142,0,142,146,0,,,320,,,,0,141,146,
101587,41,357,1082,9,0,0,0,0,0,0,0,0,157,41,357,1082,9,0,0,0,157
101602,274,,,,,,226,0,226,90,0,,,246,,,,0,215,72,
101648,81,,,,,,0,0,0,0,0,,,81,,,,0,0,0,
101675,0,145,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0
101693,1,255,87,6,0,0,0,0,0,0,0,0,0,1,255,87,6,0,0,0,0
101709,0,440,147,0,0,0,0,0,0,0,0,0,18,0,440,147,0,0,0,0,18
101736,352,,,,,,704,8,696,182,0,,,346,,,,8,542,182,
