unitid,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM
100654,10024,10024,10024,10024,27482,27482,36092,27482,27482,36092,16487,16487,25097
100663,8568,8568,8832,8832,29379,29379,42411,30619,30619,43651,16039,16039,29071
100706,11338,11488,11878,11770,29770,29770,42662,29770,29770,42662,18648,18648,31540
100724,11068,11068,11068,11248,23930,23930,32258,25298,25298,33626,17978,17978,26306
100751,11620,11620,11940,11900,33382,33382,54682,33862,33862,55162,19879,19879,41179
100760,4930,4930,4990,5040,,,,29661,29661,33471,14033,14033,17843
100830,8860,8860,9100,9436,22782,22782,33438,28176,28176,38832,15414,15414,26070
100858,11796,11826,12176,12536,35298,35298,56706,34638,34638,56046,19902,19902,41310
100937,18900,20100,21250,22750,40380,40380,40380,33728,33728,33728,27228,27228,27228
101028,4920,4920,4980,5040,,,,23800,23800,27610,12600,12600,16410
101116,17014,17014,17014,18238,,,,36577,36577,36577,25279,25279,25279
101143,4860,4860,4920,5040,,,,26636,26636,30446,12236,12236,16046
101161,4860,4860,4920,4980,25930,25930,29740,23105,23105,26915,15080,15080,18890
101189,22990,23490,23920,23920,38340,38340,38340,38340,38340,38340,30320,30320,30320
101240,3936,3936,3984,4032,13156,13156,16204,13048,13048,16096,8548,8548,11596
101286,4800,4800,4860,4920,,,,16570,16570,20380,7120,7120,10930
101295,4860,4860,4920,4980,20600,20600,24410,29240,29240,33050,15700,15700,19510
101301,4560,4560,4620,4680,,,,28080,28080,31890,17080,17080,20890
101365,14200,14200,12750,13420,,,,28414,28414,28414,16453,16453,16453
101435,27900,27900,28350,28650,41940,41940,41940,39940,39940,39940,31018,31018,31018
101453,11532,11632,11632,11982,24212,24212,24212,33319,33319,33319,17605,17605,17605
101462,4830,4830,4890,5130,,,,20630,20630,24440,11180,11180,14990
101471,5472,5472,4860,6084,,,,,,,,,
101480,11120,11120,11952,12426,24824,24824,35114,27682,27682,37972,16954,16954,27244
101505,5850,4920,5220,5040,,,,27589,27589,31399,11668,11668,15478
101514,4940,4940,5000,5060,,,,17760,17760,21570,12260,12260,16070
101569,4860,4860,4920,4980,15040,15040,18850,20647,20647,24457,13087,13087,16897
101587,10990,10990,10990,10990,23962,23962,33062,22996,22996,32096,15796,15796,24896
101602,4860,4620,4920,4980,15347,15347,19157,19247,19247,23057,9797,9797,13607
101648,9418,9218,9538,9538,18743,18743,24743,,,,,,
101675,12714,12464,12714,12714,23144,23144,23144,26801,26801,26801,15956,15956,15956
101693,24310,24855,25880,26120,43346,43346,43346,41720,41720,41720,32720,32720,32720
101709,13710,13710,13710,13710,29138,29138,42158,28712,28712,41732,18370,18370,31390
