UNITID,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM
100654,10024,10024,10024,10024,27732,27732,36342,27732,27732,36342,27732,27732,36342
100663,8568,8832,8832,9098,30249,30249,43713,31169,31169,44633,22619,22619,36083
100690,,,,7590,,,,20630,20630,20630,17750,17750,17750
100706,11488,11878,11770,12132,32089,32089,46365,32089,32089,46365,24161,24161,38437
100724,11068,11068,11248,11248,24056,24056,32384,25794,25794,34122,19276,19276,27604
100751,11620,11940,11900,12180,33924,33924,55916,35110,35110,57102,28003,28003,49995
100760,4930,4990,5040,5110,,,,28987,28987,32857,14432,14432,18302
100830,8860,9100,9436,9700,23113,23113,34081,28507,28507,39475,15745,15745,26713
100858,11826,12176,12536,12890,36882,36882,58914,35692,35692,57724,28622,28622,50654
101028,4920,4980,5040,5100,,,,23360,23360,27230,23360,23360,27230
101116,17014,17014,18238,18145,,,,36528,36528,36528,31154,31154,31154
101143,4860,4920,5040,5100,,,,26696,26696,30566,19496,19496,23366
101161,4860,4920,4980,5040,25990,25990,29860,23165,23165,27035,23165,23165,27035
101189,23490,23920,23920,23920,38670,38670,38670,38670,38670,38670,30320,30320,30320
101240,3936,3984,4032,4272,13596,13596,16692,13288,13288,16384,8788,8788,11884
101286,4800,4860,4920,4980,,,,16630,16630,20500,11005,11005,14875
101295,4860,4920,4980,5220,20840,20840,24710,29480,29480,33350,19240,19240,23110
101301,4560,4620,4680,4740,,,,28140,28140,32010,22640,22640,26510
101365,14200,12750,13420,13450,,,,28444,28444,28444,20947,20947,20947
101435,27900,28350,28650,29070,42360,42360,42360,40360,40360,40360,32038,32038,32038
101453,11632,11632,11982,11982,24212,24212,24212,33319,33319,33319,25399,25399,25399
101462,4830,4890,5130,5190,,,,20690,20690,24560,11240,11240,15110
101471,5472,4860,6084,6084,,,,,,,,,
101480,11120,11952,12426,12894,27240,27240,37680,31098,31098,41538,25220,25220,35660
101505,4920,5220,5040,5100,,,,25892,25892,29762,17931,17931,21801
101514,4940,5000,5060,5120,23570,23570,27440,23570,23570,27440,17946,17946,21816
101569,4860,4920,4980,5040,15100,15100,18970,20707,20707,24577,17907,17907,21777
101587,10990,10990,10990,10990,24026,24026,33126,23060,23060,32160,15796,15796,24896
101602,4620,4920,4980,5190,18174,18174,22044,26515,26515,30385,17119,17119,20989
101648,9218,9538,9538,9538,18743,18743,24743,,,,,,
101675,12464,12714,12714,13314,23744,23744,23744,27401,27401,27401,16556,16556,16556
101693,24855,25880,26120,26910,44788,44788,44788,42510,42510,42510,35310,35310,35310
101709,13710,13710,13710,13948,29520,29520,42540,29520,29520,42540,18868,18868,31888
101736,4831,5011,5071,5131,,,,19931,19931,23801,15131,15131,19001
101879,10620,11220,11990,12120,28880,28880,39080,29180,29180,39380,17820,17820,28020
101897,4860,4920,4980,5040,,,,21610,21610,25480,21610,21610,25480
101912,19990,20040,21838,22512,41096,41096,41096,45022,45022,45022,32512,32512,32512
101994,7335,5250,6100,5454,,,,15854,15854,19724,9254,9254,13124
102030,4860,4920,5280,5340,,,,28392,28392,32262,24444,24444,28314
102049,35360,36725,38144,40150,59741,59741,59741,68452,68452,68452,54094,54094,54094
102058,4800,4800,4800,4800,11600,11600,11600,17600,17600,17600,8600,8600,8600
102067,4587,4980,5067,5127,,,,27027,27027,30897,17687,17687,21557
102076,5344,5408,5472,5278,13722,13722,18108,17022,17022,21408,10022,10022,14408
102094,8756,9116,9676,10116,27863,27863,36839,27953,27953,36929,21327,21327,30303
102234,21100,21732,23270,24054,43276,43276,43276,47050,47050,47050,35438,35438,35438
102270,11392,11392,11392,12126,27470,27470,27470,29838,29838,29838,22054,22054,22054
102298,13866,13866,15650,15650,25654,25654,25654,22150,22150,22150,22150,22150,22150
102313,4770,4830,4890,5190,,,,24290,24290,28160,24290,24290,28160
102368,9312,9312,9792,10176,25192,25192,35368,27652,27652,37828,22222,22222,32398
102377,22614,22614,23440,25386,46052,46052,46052,47068,47068,47068,38358,38358,38358
102395,16418,16418,18900,13800,,,,27840,27840,27840,21700,21700,21700
102429,5214,5278,4678,4734,15954,15954,19566,23094,23094,26706,13779,13779,17391
102553,8622,7508,7566,7738,30372,30372,43956,37424,37424,51008,28792,28792,42376
102580,10900,10900,10930,9730,21185,21185,21185,28564,28564,28564,18862,18862,18862
102614,7248,7896,8640,8736,24276,24276,37860,27436,27436,41020,17156,17156,30740
102632,6960,6960,6960,7056,29190,29190,42774,31570,31570,45154,27330,27330,40914
102669,20760,20760,20760,20760,36392,36392,36392,47460,47460,47460,33960,33960,33960
