UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
100654,12,26,29,0,36,35,0,,29,9,24,27,0,35,38,0,,27,18,31,33,0,40,27,0,,33,6,28,29,0,33,38,0,,29,8,34,37,0,34,29,0,,37,5,23,23,0,32,45,0,,23,45,51,53,0,25,22,0,,53,41,48,49,0,23,27,0,,49,52,57,59,0,29,13,0,,59,29,31,31,0,37,33,0,,31,31,35,35,0,31,35,0,,35,26,26,26,0,43,30,0,,26
100663,44,64,66,1,18,15,1,,66,32,55,58,1,22,19,1,,57,51,69,72,1,15,12,0,,71,1,5,12,6,23,59,0,,12,0,3,11,6,25,58,0,,11,2,7,13,7,22,59,0,,13,54,60,61,0,20,18,0,,61,51,58,59,1,20,19,0,,59,56,61,63,0,20,17,0,,63,32,38,40,1,27,32,1,,39,33,41,42,1,30,27,0,,42,32,37,39,1,26,34,1,,38
100690,65,65,65,0,12,24,,29,35,100,100,100,0,0,0,,50,50,60,60,60,0,13,27,,27,33,85,89,89,0,0,11,,26,63,85,85,85,0,0,15,,38,46,86,93,93,0,0,7,,14,79,65,71,71,0,4,25,,29,41,63,67,67,0,5,28,,26,42,75,88,88,0,0,13,,50,38,78,89,89,0,0,11,,44,44,73,82,82,0,0,18,,45,36,86,100,100,0,0,0,,43,57
100706,38,62,64,1,23,12,0,,64,27,49,51,2,28,20,0,,51,41,65,67,1,21,10,0,,67,0,17,17,8,50,25,0,,17,0,0,0,0,100,0,0,,0,0,18,18,9,45,27,0,,18,54,61,62,0,21,17,0,,62,49,56,58,1,23,18,0,,58,57,63,65,0,19,16,0,,65,24,30,34,1,34,30,0,,33,24,29,35,0,42,24,0,,35,24,30,34,2,32,33,1,,33
100724,13,27,28,2,35,34,,,28,12,26,27,2,33,38,,,27,17,30,32,2,45,22,,,32,0,10,14,10,29,48,,,14,0,8,15,8,23,54,,,15,0,13,13,13,38,38,,,13,29,36,38,0,35,27,,,38,30,36,37,0,32,30,,,37,27,36,39,2,41,19,,,39,25,30,30,0,45,25,,,30,40,40,40,0,50,10,,,40,10,20,20,0,40,40,,,20
100751,54,72,74,0,21,5,0,,74,38,58,60,1,28,11,0,,60,58,75,76,0,19,4,0,,76,6,18,24,3,50,24,0,,24,0,20,20,0,20,60,0,,20,7,17,24,3,55,17,0,,24,63,68,70,0,20,10,0,,70,57,62,62,1,24,13,0,,62,67,72,74,0,17,9,0,,74,48,54,55,2,27,15,0,,55,45,49,51,3,32,15,0,,51,49,55,57,2,26,16,0,,57
100760,30,32,32,1,31,36,6,27,,25,27,27,1,27,46,3,23,,38,40,41,1,37,22,9,32,,19,21,21,1,31,46,3,19,,14,16,16,0,22,61,2,14,,26,29,29,3,45,23,3,26,,24,26,26,0,35,39,0,26,,29,29,29,0,32,38,0,29,,18,21,21,0,39,39,0,21,,13,15,17,0,39,43,2,15,,7,7,7,0,37,56,0,7,,21,26,32,0,42,26,5,26,
100812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,63,65,1,15,19,1,,64,57,60,62,1,15,21,1,,61,63,67,67,1,15,17,0,,67,39,49,51,2,19,27,1,,50,36,47,48,4,19,29,0,,48,41,50,53,1,19,27,2,,51
100830,14,35,37,1,33,29,0,,37,12,35,38,1,31,30,0,,38,17,34,36,1,36,28,0,,36,0,11,13,0,51,36,0,,13,0,5,10,0,38,52,0,,10,0,15,15,0,62,23,0,,15,55,61,61,0,27,11,0,,61,41,49,51,0,35,14,0,,51,67,71,71,0,21,8,0,,71,49,52,58,2,23,17,0,,58,35,38,54,0,38,8,0,,54,58,60,61,4,13,22,0,,61
100858,55,80,81,0,13,5,0,,81,39,70,72,1,17,10,0,,72,58,82,83,0,13,4,0,,83,27,62,69,4,13,13,0,,69,29,57,57,0,14,29,0,,57,26,63,71,5,13,11,0,,71,68,75,75,1,16,8,0,,75,60,68,68,1,19,11,0,,68,71,78,78,0,15,7,0,,78,39,52,53,1,29,17,0,,53,19,36,36,3,44,17,0,,36,46,58,59,1,23,17,0,,59
