UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1417,"R",1692,"R",84,"R",1525,"R",0,"R",0,"R",1525,"R",884,"R",58,"R",10,"R",0,"R",0,"R",10,"R",4,"R",40,"R",18
100663,"R",2361,"R",3766,"R",63,"R",2090,"R",0,"R",0,"R",2090,"R",1754,"R",84,"R",52,"R",0,"R",0,"R",52,"R",31,"R",60,"R",19
100690,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
100706,"R",1191,"R",2040,"R",58,"R",1328,"R",0,"R",0,"R",1328,"R",1049,"R",79,"R",17,"R",0,"R",0,"R",17,"R",3,"R",18,"R",19
100724,"R",797,"R",1027,"R",78,"R",926,"R",0,"R",0,"R",926,"R",596,"R",64,"R",49,"R",3,"R",0,"R",46,"R",10,"R",22,"R",13
100751,"R",7540,"R",9223,"R",82,"R",6466,"R",2,"R",0,"R",6464,"R",5724,"R",89,"R",41,"R",0,"R",0,"R",41,"R",22,"R",54,"R",19
100760,"R",219,"R",817,"R",27,"R",225,"R",0,"R",0,"R",225,"R",143,"R",64,"R",53,"R",0,"R",0,"R",53,"R",13,"R",25,"R",15
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
100830,"R",517,"R",1195,"R",43,"R",641,"R",0,"R",0,"R",641,"R",404,"R",63,"R",33,"R",0,"R",1,"R",34,"R",8,"R",24,"R",15
100858,"R",5254,"R",6571,"R",80,"R",4869,"R",6,"Z",0,"R",4863,"R",4517,"R",93,"R",45,"R",3,"Z",0,"R",42,"R",35,"R",83,"R",20
100937,"R",244,"R",269,"R",91,"R",256,"R",0,"R",0,"R",256,"R",200,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
101028,"R",172,"R",609,"R",28,"R",190,"R",0,"Z",0,"R",190,"R",114,"R",60,"R",70,"Z",0,"Z",0,"R",70,"R",18,"R",26,"R",12
101116,"R",12,"R",96,"R",13,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",15
101143,"R",340,"R",774,"R",44,"R",316,"R",0,"R",0,"R",316,"R",208,"R",66,"R",88,"R",0,"R",0,"R",88,"R",33,"R",38,"R",16
101161,"R",1047,"R",3028,"R",35,"R",928,"R",0,"R",0,"R",928,"R",588,"R",63,"R",225,"R",0,"R",0,"R",225,"R",102,"R",45,"R",16
101189,"R",207,"R",621,"R",33,"R",277,"R",0,"R",0,"R",277,"R",180,"R",65,"R",11,"R",0,"R",0,"R",11,"R",4,"R",36,"R",13
101240,"R",625,"R",1808,"R",35,"R",637,"R",0,"R",0,"R",637,"R",379,"R",59,"R",179,"R",0,"R",0,"R",179,"R",59,"R",33,"R",15
101277,"A",,"A",,"A",,"R",44,"R",0,"R",0,"R",44,"R",37,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
101286,"R",514,"R",1499,"R",34,"R",382,"Z",0,"Z",0,"R",382,"R",253,"R",66,"R",215,"Z",0,"Z",0,"R",215,"R",112,"R",52,"R",14
101295,"R",961,"R",2369,"R",41,"R",925,"Z",0,"Z",0,"R",925,"R",594,"R",64,"R",360,"Z",0,"Z",0,"R",360,"R",146,"R",41,"R",18
101301,"R",219,"R",818,"R",27,"R",179,"R",0,"R",0,"R",179,"R",111,"R",62,"R",56,"R",0,"R",0,"R",56,"R",23,"R",41,"R",14
101365,"R",32,"R",151,"R",21,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",14
101435,"R",250,"R",296,"R",84,"R",219,"R",0,"R",0,"R",219,"R",158,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
101453,"R",3,"R",27,"R",11,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",6
101462,"R",57,"R",366,"R",16,"R",63,"R",0,"R",0,"R",63,"R",26,"R",41,"R",38,"R",0,"R",0,"R",38,"R",14,"R",37,"R",12
101471,"R",178,"R",245,"R",73,"R",85,"R",0,"R",0,"R",85,"R",51,"R",60,"R",41,"R",0,"R",0,"R",41,"R",10,"R",24,"R",9
101480,"R",1782,"R",2988,"R",60,"R",1290,"R",0,"R",0,"R",1290,"R",893,"R",69,"R",23,"R",0,"R",0,"R",23,"R",7,"R",30,"R",19
101505,"R",854,"R",3877,"R",22,"R",938,"R",0,"R",0,"R",938,"R",549,"R",59,"R",555,"R",0,"R",0,"R",555,"R",239,"R",43,"R",19
