UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR
100654,R,1939,R,2205,R,88,R,1976,R,0,R,0,R,1976,R,1381,R,70,R,14,R,0,R,0,R,14,R,3,R,21,R,19
100663,R,1993,R,3266,R,61,R,2054,R,0,R,0,R,2054,R,1645,R,80,R,38,R,0,R,0,R,38,R,18,R,47,R,18
100690,A,,A,,A,,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,R,12
100706,R,1200,R,1903,R,63,R,1162,R,0,R,0,R,1162,R,979,R,84,R,14,R,0,R,0,R,14,R,6,R,43,R,17
100724,R,1053,R,1218,R,86,R,909,R,0,R,0,R,909,R,634,R,70,R,42,R,0,R,0,R,42,R,9,R,21,R,15
100751,R,7973,R,9539,R,84,R,8215,R,3,R,0,R,8212,R,7349,R,89,R,64,R,0,R,0,R,64,R,32,R,50,R,19
100760,R,281,R,1092,R,26,R,274,R,0,R,0,R,274,R,164,R,60,R,107,R,0,R,0,R,107,R,33,R,31,R,16
100812,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14
100830,R,346,R,1026,R,34,R,407,R,0,R,0,R,407,R,275,R,68,R,5,R,0,R,0,R,5,R,3,R,60,R,13
100858,R,6081,R,8056,R,75,R,5916,R,1,R,0,R,5915,R,5606,R,95,R,19,R,5,R,0,R,14,R,10,R,71,R,21
101028,R,225,R,771,R,29,R,209,R,0,R,0,R,209,R,109,R,52,R,63,R,1,R,0,R,62,R,17,R,27,R,14
101116,R,28,R,92,R,30,R,13,R,0,R,0,R,13,R,8,R,62,R,2,R,0,R,0,R,2,R,1,R,50,R,13
101143,R,451,R,1445,R,31,R,438,R,0,R,0,R,438,R,278,R,63,R,116,R,0,R,0,R,116,R,46,R,40,R,17
101161,R,1230,R,3773,R,33,R,1210,Z,0,Z,0,R,1210,R,751,R,62,R,295,Z,0,Z,0,R,295,R,131,R,44,R,16
101189,R,213,R,623,R,34,R,228,R,0,R,0,R,228,R,147,R,64,R,21,R,0,R,0,R,21,R,11,R,52,R,14
101240,R,846,R,2480,R,34,R,916,R,0,R,0,R,916,R,572,R,62,R,163,R,0,R,0,R,163,R,60,R,37,R,17
101277,A,,A,,A,,R,35,R,0,R,0,R,35,R,27,R,77,A,,A,,A,,A,,A,,A,,R,20
101286,R,446,R,1522,R,29,R,461,Z,0,Z,0,R,461,R,288,R,62,R,245,R,0,Z,0,R,245,R,105,R,43,R,14
101295,R,931,R,2853,R,33,R,937,R,0,R,0,R,937,R,614,R,66,R,348,R,0,R,0,R,348,R,164,R,47,R,18
101301,R,190,R,334,R,57,R,238,Z,0,Z,0,R,238,R,149,R,63,R,33,Z,0,Z,0,R,33,R,12,R,36,R,15
101365,R,11,R,121,R,9,R,3,R,0,R,0,R,3,R,2,R,67,R,2,R,0,R,0,R,2,R,2,R,100,R,14
101435,R,280,R,323,R,87,R,309,R,0,R,0,R,309,R,207,R,67,R,0,R,0,R,0,R,0,R,0,A,,R,15
101453,R,5,R,42,R,12,R,2,R,0,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,8
101462,R,121,R,636,R,19,R,97,Z,0,R,0,R,97,R,49,R,51,R,50,Z,0,Z,0,R,50,R,20,R,40,R,13
101471,A,,A,,A,,R,341,R,0,R,0,R,341,R,265,R,78,R,78,R,0,R,0,R,78,R,58,R,74,R,13
101480,R,1722,R,3242,R,53,R,1798,R,0,R,0,R,1798,R,1161,R,65,R,17,R,0,R,0,R,17,R,3,R,18,R,19
101505,R,742,R,4701,R,16,R,789,R,0,Z,0,R,789,R,467,R,59,R,543,R,0,R,0,R,543,R,237,R,44,R,19
101514,R,1197,R,3842,R,31,R,1175,R,1,R,0,R,1174,R,765,R,65,R,600,R,0,R,0,R,600,R,287,R,48,R,22
101569,R,519,R,1505,R,34,R,412,R,0,R,0,R,412,R,245,R,59,R,323,R,0,R,0,R,323,R,111,R,34,R,19
101587,R,372,R,1025,R,36,R,299,R,0,R,0,R,299,R,194,R,65,R,6,R,0,R,0,R,6,R,2,R,33,R,19
101602,R,341,R,512,R,67,R,381,R,0,R,0,R,381,R,242,R,64,R,64,R,0,R,0,R,64,R,25,R,39,R,16
101648,R,200,R,216,R,93,R,173,R,0,R,0,R,173,R,80,R,46,A,,A,,A,,A,,A,,A,,R,11
101675,R,176,R,321,R,55,R,176,R,0,R,0,R,176,R,99,R,56,R,2,R,0,R,0,R,2,R,0,R,0,R,12
101693,R,271,R,349,R,78,R,288,R,0,R,0,R,288,R,213,R,74,R,0,R,0,R,0,R,0,R,0,A,,R,14
101709,R,552,R,1174,R,47,R,499,Z,0,Z,0,R,499,R,363,R,73,R,2,R,0,R,0,R,2,R,1,R,50,R,13
101736,R,409,R,748,R,55,R,441,R,1,R,0,R,440,R,303,R,69,R,150,R,1,R,0,R,149,R,54,R,36,R,18
101879,R,1048,R,2959,R,35,R,1083,R,0,R,0,R,1083,R,863,R,80,R,22,R,0,R,0,R,22,R,8,R,36,R,18
101897,R,431,R,1365,R,32,R,377,R,0,R,0,R,377,R,262,R,69,R,114,R,0,R,0,R,114,R,71,R,62,R,17
101912,R,255,R,315,R,81,R,284,Z,0,Z,0,R,284,R,202,R,71,R,6,Z,0,Z,0,R,6,R,2,R,33,R,14
101994,R,156,R,395,R,39,R,79,R,0,R,0,R,79,R,50,R,63,R,7,R,0,R,0,R,7,R,3,R,43,R,15
102030,R,519,R,2078,R,25,R,516,R,0,R,0,R,516,R,284,R,55,R,199,R,0,R,0,R,199,R,62,R,31,R,17
102049,R,1087,R,1336,R,81,R,1080,R,0,R,0,R,1080,R,1003,R,93,R,0,R,0,R,0,R,0,R,0,A,,R,14
102058,R,11,R,14,R,79,R,3,R,0,R,0,R,3,R,2,R,67,R,4,R,0,R,0,R,4,R,1,R,25,R,3
102067,R,695,R,1975,R,35,R,754,R,0,R,0,R,754,R,438,R,58,R,218,R,0,R,0,R,218,R,87,R,40,R,18
102076,R,461,R,1594,R,29,R,488,R,0,R,0,R,488,R,332,R,68,R,71,R,0,R,0,R,71,R,25,R,35,R,20
102094,R,1919,R,2996,R,64,R,1888,R,0,R,0,R,1888,R,1430,R,76,R,18,R,0,R,0,R,18,R,7,R,39,R,19
102234,R,153,R,319,R,48,R,215,R,0,R,0,R,215,R,151,R,70,R,1,Z,0,Z,0,R,1,R,1,R,100,R,11
102270,R,134,R,223,R,60,R,178,R,0,R,0,R,178,R,94,R,53,R,22,R,0,R,0,R,22,R,15,R,68,R,13
102298,R,269,R,309,R,87,R,204,R,0,R,0,R,204,R,111,R,54,A,,A,,A,,A,,A,,A,,R,17
102313,R,357,R,1041,R,34,R,299,R,0,R,0,R,299,R,152,R,51,R,141,R,0,R,0,R,141,R,47,R,33,R,16
102368,R,1650,R,3087,R,53,R,1418,R,1,R,0,R,1417,R,1009,R,71,R,217,R,0,R,0,R,217,R,64,R,29,R,16
102377,R,786,R,912,R,86,R,859,R,0,R,0,R,859,R,693,R,81,A,,A,,A,,A,,A,,A,,R,14
102395,A,,A,,A,,R,7,R,0,R,0,R,7,R,3,R,43,R,19,R,0,R,0,R,19,R,11,R,58,R,14
102429,R,486,R,2111,R,23,R,485,R,0,R,0,R,485,R,322,R,66,R,173,R,0,R,0,R,173,R,99,R,57,R,16
102553,R,919,R,2125,R,43,R,607,Z,0,Z,0,R,607,R,429,R,71,R,219,Z,0,Z,0,R,219,R,108,R,49,R,11
102580,R,4,R,14,R,29,R,2,R,0,R,0,R,2,R,2,R,100,R,0,R,0,R,0,R,0,R,0,A,,R,5
102614,R,695,R,1370,R,51,R,451,Z,0,Z,0,R,451,R,334,R,74,R,45,Z,0,Z,0,R,45,R,19,R,42,R,11
102632,R,90,R,376,R,24,R,51,Z,0,Z,0,R,51,R,39,R,76,R,14,Z,0,Z,0,R,14,R,4,R,29,R,9
102669,R,22,R,146,R,15,R,25,R,0,R,0,R,25,R,17,R,68,R,5,R,0,R,0,R,5,R,2,R,40,R,7
102711,A,,A,,A,,R,126,R,0,R,0,R,126,R,116,R,92,R,264,R,0,R,0,R,264,R,261,R,99,R,12
102845,A,,A,,A,,R,4,R,0,R,0,R,4,R,1,R,25,A,,A,,A,,A,,A,,A,,R,25
103501,A,,A,,A,,R,180,R,0,R,0,R,180,R,136,R,76,A,,A,,A,,A,,A,,A,,R,16
103741,A,,A,,A,,R,72,R,0,R,0,R,72,R,57,R,79,R,25,R,0,R,0,R,25,R,19,R,76,R,15
103893,A,,A,,A,,R,193,R,0,R,0,R,193,R,143,R,74,A,,A,,A,,A,,A,,A,,R,25
103909,A,,A,,A,,R,62,R,0,R,0,R,62,R,49,R,79,A,,A,,A,,A,,A,,A,,R,12
103927,A,,A,,A,,R,107,R,0,R,0,R,107,R,84,R,79,A,,A,,A,,A,,A,,A,,R,20
103954,A,,A,,A,,R,6,R,0,R,0,R,6,R,6,R,100,A,,A,,A,,A,,A,,A,,R,24
103963,A,,A,,A,,R,164,R,0,R,0,R,164,R,133,R,81,A,,A,,A,,A,,A,,A,,R,24
104090,A,,A,,A,,R,4,Z,0,Z,0,R,4,R,1,R,25,A,,A,,A,,A,,A,,A,,R,22
104151,R,13981,R,18259,R,77,R,13987,R,120,R,0,R,13867,R,12014,R,87,R,115,R,6,R,0,R,109,R,57,R,52,R,18
104160,R,504,R,3460,R,15,R,474,R,0,R,0,R,474,R,318,R,67,R,844,R,0,R,0,R,844,R,426,R,50,R,22
104179,R,8743,R,13303,R,66,R,8625,R,18,Z,0,R,8607,R,7125,R,83,R,533,Z,0,Z,0,R,533,R,276,R,52,R,20
104346,R,445,R,2806,R,16,R,423,R,0,R,0,R,423,R,258,R,61,R,1406,R,0,R,0,R,1406,R,507,R,36,R,15
104391,A,,A,,A,,R,85,R,0,R,0,R,85,R,80,R,94,A,,A,,A,,A,,A,,A,,R,18
