,count,mean,std,min,50%,max,missing_count,missing_percentage
UNITID,2689.0,231467.506879881,113434.0013284618,100654.0,198543.0,494807.0,0,0.0
HLOFFER,2689.0,7.488285608032726,1.6204011156317517,5.0,8.0,9.0,0,0.0
IS_R1,2689.0,0.06917069542580885,0.25379137787986233,0.0,0.0,1.0,0,0.0
DVADM01,1672.0,71.76913875598086,22.815090593793325,0.0,77.0,100.0,1017,37.82075120862775
DVADM04,1670.0,31.61616766467066,25.60768874521497,0.0,21.0,100.0,1019,37.89512830048345
SATPCT,1111.0,20.10711071107111,20.05915247563781,0.0,14.0,100.0,1578,58.68352547415397
ACTPCT,1111.0,21.084608460846084,25.356273044493722,0.0,10.0,100.0,1578,58.68352547415397
SATCM50,920.0,1184.8271739130435,156.19835998246023,820.0,1170.0,1560.0,1769,65.78653774637412
ACTCM50,905.0,24.91381215469613,4.656957558708592,2.0,24.0,35.0,1784,66.34436593529193
TUITION1,2334.0,21628.595972579264,17796.05582218725,0.0,14635.0,85000.0,355,13.201933804388249
OM1TOTLAWDP4,2251.0,42.66948023100844,21.883124835685212,0.0,41.0,100.0,438,16.288583116400147
OM1TOTLAWDP8,2251.0,54.25410928476233,20.78485185031657,0.0,54.0,100.0,438,16.288583116400147
OM1TOTLENAP8,2251.0,21.55930697467792,14.964622466468933,0.0,22.0,100.0,438,16.288583116400147
SALTOTL,2569.0,75847.3164655508,27868.289961335027,6885.0,72027.0,228190.0,120,4.462625511342506
SFTETOTL,2649.0,1013.4992072480181,2568.773124674038,0.0,297.66,35878.68,40,1.4875418371141689
SFTEINST,2649.0,310.2453605134013,623.4292882877495,0.0,112.67,7851.33,40,1.4875418371141689
GRRTTOT,2246.0,52.28005342831701,21.451751906627855,0.0,53.0,100.0,443,16.47452584603942
TRRTTOT,1480.0,22.606756756756756,15.046224301864244,0.0,21.0,100.0,1209,44.96095202677575
GBA6RTT,1959.0,51.619703930576826,23.170722247549232,0.0,53.0,100.0,730,27.14763852733358
PGBA6RT,1891.0,47.0713907985193,23.460350004856437,0.0,47.0,100.0,798,29.676459650427667
NRBA6RT,1859.0,55.85691231845078,25.25804328591826,0.0,60.0,100.0,830,30.866493120119003
TUFEPC,2649.0,48.25330313325783,29.76591093475083,0.0,45.0,100.0,40,1.4875418371141689
COREXP,2649.0,197119696.05662513,596257659.584968,2263.0,42796000.0,9934895000.0,40,1.4875418371141689
INSTFT,2646.0,13714.093348450491,20733.114291430713,0.0,9790.5,695895.0,43,1.5991074748977314
INSTPC,2649.0,37.46508116270291,12.276106960989498,0.0,38.0,100.0,40,1.4875418371141689
ENRTOT,2652.0,5691.159125188537,11533.452625304666,1.0,1862.5,210208.0,37,1.375976199330606
EFUG,2652.0,4442.507164404224,9136.256116735074,0.0,1428.5,164423.0,37,1.375976199330606
STUFACR,2398.0,14.59257714762302,7.7691168901025485,1.0,13.0,147.0,291,10.821866865005578
ASCDEG,2656.0,147.273343373494,582.3200987286256,0.0,0.0,9792.0,33,1.2272220156191893
BASDEG,2656.0,735.5432981927711,1684.602541825509,0.0,188.5,25032.0,33,1.2272220156191893
MASDEG,2656.0,354.8015813253012,1028.55125298284,0.0,45.5,25129.0,33,1.2272220156191893
DOCDETOT,2656.0,80.63478915662651,223.79246485103158,0.0,0.0,2689.0,33,1.2272220156191893
