UNITID,INSTNM,STABBR,HLOFFER,IS_R1,CNTLAFFI,FT_FTUG,OPENADMP,DVADM01,DVADM04,SATPCT,ACTPCT,SATCM50,ACTCM50,TUITION1,OM1TOTLAWDP4,OM1TOTLAWDP8,OM1TOTLENAP8,SALTOTL,SFTETOTL,SFTEINST,GRRTTOT,UAGRNTA,UDGAGRNTN,TUFEPC,COREXP,INSTFT,INSTPC,ENRTOT,EFUG,STUFACR,ASCDEG,BASDEG,MASDEG,DOCDETOT,percent_missing
108269,Academy of Chinese Culture and Health Sciences,CA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,21.66,7.67,,,,79.0,2314819.0,9153.0,61.0,114.0,0.0,,0.0,0.0,10.0,16.0,42.857142857142854
420705,Bakke Graduate University,TX,9,0,3.0,2.0,-2.0,,,,,,,,,,,,6.67,0.0,,,,91.0,959727.0,1408.0,10.0,118.0,0.0,,0.0,0.0,6.0,18.0,42.857142857142854
439914,Seattle Institute of East Asian Medicine,WA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,13.67,6.67,,,,96.0,1490748.0,4499.0,28.0,50.0,0.0,,0.0,0.0,11.0,2.0,42.857142857142854
440004,Upper Valley Educators Institute,NH,8,0,3.0,2.0,-2.0,,,,,,,,,,,,9.0,7.0,,,,27.0,955462.0,17642.0,78.0,51.0,0.0,,0.0,0.0,0.0,0.0,42.857142857142854
442806,Edward Via College of Osteopathic Medicine,VA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,1635.33,1336.33,,,,85.0,117860881.0,24697.0,55.0,2617.0,0.0,,0.0,0.0,0.0,612.0,42.857142857142854
443030,NorthShore University HealthSystem School of Nurse Anesthesia,IL,8,0,3.0,2.0,-2.0,,,,,,,,,,,,5.0,2.33,,,,99.0,1820500.0,21156.0,91.0,80.0,0.0,,0.0,0.0,0.0,0.0,42.857142857142854
446039,Arizona School of Acupuncture and Oriental Medicine,AZ,7,0,2.0,2.0,-2.0,,,,,,,,,,,,13.33,5.67,,,,100.0,661980.0,4467.0,20.0,19.0,0.0,,0.0,0.0,10.0,0.0,42.857142857142854
447801,University of East-West Medicine,CA,7,0,2.0,2.0,-2.0,,,,,,,,,,,,14.66,7.33,,,,88.0,1416410.0,2838.0,22.0,81.0,0.0,,0.0,0.0,18.0,0.0,42.857142857142854
449481,Dragon Rises College of Oriental Medicine,FL,7,0,3.0,2.0,-2.0,,,,,,,,,,,,6.33,1.0,,,,82.0,1324094.0,2842.0,24.0,71.0,0.0,,0.0,0.0,12.0,0.0,42.857142857142854
451079,Academy for Five Element Acupuncture,FL,7,0,3.0,2.0,-2.0,,,,,,,,,,,,19.0,9.67,,,,97.0,1232081.0,4265.0,24.0,39.0,0.0,,0.0,0.0,21.0,0.0,42.857142857142854
454838,Institute of Taoist Education and Acupuncture,CO,7,0,3.0,2.0,-2.0,,,,,,,,,,,,6.66,0.0,,,,94.0,738856.0,9646.0,47.0,32.0,0.0,,0.0,0.0,12.0,0.0,42.857142857142854
455178,Daoist Traditions College of Chinese Medical Arts,NC,9,0,2.0,2.0,-2.0,,,,,,,,,,,,25.01,8.67,,,,84.0,2165275.0,4197.0,25.0,102.0,0.0,,0.0,0.0,16.0,31.0,42.857142857142854
455992,Vermont College of Fine Arts,VT,7,0,3.0,2.0,-2.0,,,,,,,,,,,,81.67,30.0,,,,70.0,9521666.0,9513.0,18.0,190.0,0.0,,0.0,0.0,125.0,0.0,42.857142857142854
461139,Jung Tao School of Classical Chinese Medicine,NC,7,0,3.0,2.0,-2.0,,,,,,,,,,,,11.33,5.67,,,,88.0,922686.0,2333.0,29.0,69.0,0.0,,0.0,0.0,20.0,0.0,42.857142857142854
475228,The Colleges of Law at Santa Barbara,CA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,11.67,6.67,,,,91.0,3304409.0,11010.0,29.0,78.0,0.0,,0.0,0.0,0.0,17.0,42.857142857142854
483975,Alabama College of Osteopathic Medicine,AL,9,0,3.0,2.0,-2.0,,,,,,,,,,,,91.67,29.67,,,,86.0,34746014.0,19785.0,45.0,778.0,0.0,,0.0,0.0,0.0,189.0,42.857142857142854
486433,Presidio Graduate School,CA,7,0,3.0,2.0,-2.0,,,,,,,,,,,,4.33,0.33,,,,83.0,2383417.0,6435.0,19.0,74.0,0.0,,0.0,0.0,38.0,0.0,42.857142857142854
488554,Burrell College of Osteopathic Medicine,NM,9,0,2.0,2.0,-2.0,,,,,,,,,,,,164.32,40.33,,,,95.0,40142208.0,13762.0,24.0,841.0,0.0,,0.0,0.0,0.0,147.0,42.857142857142854
488907,Wongu University of Oriental Medicine,NV,7,0,3.0,2.0,-2.0,,,,,,,,,,,,16.33,5.33,,,,53.0,1243670.0,7773.0,27.0,29.0,0.0,,0.0,0.0,10.0,0.0,42.857142857142854
490373,Western Michigan University Homer Stryker M.D. School of Medicine,MI,9,0,3.0,2.0,-2.0,,,,,,,,,,,,725.33,131.33,,,,14.0,123902178.0,108615.0,32.0,346.0,0.0,,0.0,0.0,7.0,84.0,42.857142857142854
493947,Idaho College of Osteopathic Medicine,ID,9,0,2.0,2.0,-2.0,,,,,,,,,,,,112.0,36.0,,,,97.0,30416970.0,21161.0,44.0,632.0,0.0,,0.0,0.0,0.0,147.0,42.857142857142854
381352,Colorado Chinese Medicine University,CO,9,0,2.0,2.0,-2.0,,,,,,,,,,,,38.32,29.33,,,,93.0,1201610.0,3672.0,34.0,89.0,0.0,,0.0,0.0,20.0,13.0,42.857142857142854
385415,Albert Einstein College of Medicine,NY,9,0,3.0,2.0,-2.0,,,,,,,,,,,,1863.65,56.33,,,,8.0,504261944.0,93458.0,21.0,1424.0,0.0,,0.0,0.0,60.0,223.0,42.857142857142854
193405,Icahn School of Medicine at Mount Sinai,NY,9,0,3.0,2.0,-2.0,,,,,,,,,,,,12247.34,4315.67,,,,2.0,1513967990.0,25064.0,2.0,1261.0,0.0,,0.0,0.0,167.0,195.0,42.857142857142854
190424,Weill Medical College of Cornell University,NY,9,1,3.0,2.0,-2.0,,,,,,,,,,,,9004.66,2200.33,,,,2.0,1191118122.0,255347.0,28.0,1474.0,0.0,,0.0,0.0,201.0,168.0,42.857142857142854
240213,Wisconsin School of Professional Psychology,WI,9,0,3.0,2.0,-2.0,,,,,,,,,,,,10.66,4.0,,,,94.0,1926326.0,10574.0,48.0,78.0,0.0,,0.0,0.0,16.0,16.0,42.857142857142854
140562,Morehouse School of Medicine,GA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,874.66,404.67,,,,9.0,260707830.0,88188.0,33.0,967.0,0.0,,0.0,0.0,160.0,76.0,42.857142857142854
207315,Oklahoma State University Center for Health Sciences,OK,9,0,1.0,2.0,-2.0,,,,,,,,,,,,910.66,211.0,,,,18.0,144222835.0,52843.0,58.0,2256.0,0.0,,0.0,0.0,272.0,258.0,42.857142857142854
188580,Albany Medical College,NY,9,0,3.0,2.0,-2.0,,,,,,,,,,,,2095.0,575.0,,,,32.0,127535000.0,43679.0,31.0,814.0,0.0,,0.0,0.0,72.0,151.0,42.857142857142854
211130,Missio Theological Seminary,PA,9,0,4.0,2.0,-2.0,,,,,,,,,,,,3.33,1.67,,,,25.0,1174173.0,9104.0,16.0,20.0,0.0,,0.0,0.0,21.0,7.0,42.857142857142854
215123,Philadelphia College of Osteopathic Medicine,PA,9,0,3.0,2.0,-2.0,,,,,,,,,,,,523.33,200.0,,,,79.0,185648740.0,25612.0,44.0,2901.0,0.0,,0.0,0.0,342.0,594.0,42.857142857142854
114585,Five Branches University,CA,9,0,2.0,2.0,-2.0,,,,,,,,,,,,44.67,19.33,,,,92.0,4393908.0,3241.0,25.0,321.0,0.0,,0.0,0.0,48.0,86.0,42.857142857142854
220792,Meharry Medical College,TN,9,0,4.0,2.0,-2.0,,,,,,,,,,,,867.66,179.33,,,,24.0,152540180.0,29048.0,21.0,1226.0,0.0,,0.0,0.0,186.0,171.0,42.857142857142854
237880,West Virginia School of Osteopathic Medicine,WV,9,0,1.0,2.0,-2.0,,,,,,,,,,,,315.0,60.67,,,,44.0,52850125.0,26813.0,40.0,835.0,0.0,,0.0,0.0,0.0,188.0,42.857142857142854
239169,Medical College of Wisconsin,WI,9,0,3.0,2.0,-2.0,,,,,,,,,,,,6276.67,2048.67,,,,10.0,654546000.0,80631.0,20.0,1677.0,0.0,,0.0,0.0,70.0,326.0,42.857142857142854
114114,Emperor's College of Traditional Oriental Medicine,CA,9,0,2.0,2.0,-2.0,,,,,,,,,,,,28.33,10.67,,,,86.0,3445785.0,3430.0,22.0,150.0,0.0,,0.0,0.0,27.0,12.0,42.857142857142854
145886,Institute for Clinical Social Work,IL,9,0,3.0,2.0,-2.0,,,,,,,,,,,,23.33,17.0,,,,90.0,1978596.0,6655.0,22.0,121.0,0.0,,0.0,0.0,6.0,7.0,42.857142857142854
119678,Naval Postgraduate School,CA,9,0,1.0,2.0,-2.0,,,,,,,,,,,148324.0,744.33,251.33,,,,,,,,2441.0,0.0,,0.0,0.0,1040.0,16.0,51.42857142857142
490230,Reformed University,GA,7,0,4.0,1.0,2.0,,,,,,,,,,,22500.0,19.0,13.0,,,,88.0,1117579.0,,37.0,294.0,253.0,12.0,,,,,51.42857142857142
486080,Elmezzi Graduate School of Molecular Medicine,NY,9,0,3.0,2.0,-2.0,,,,,,,,,,,173634.0,44.0,43.0,,,,0.0,1145354.0,,0.0,12.0,0.0,,,,,,54.285714285714285
262165,Montana Bible College,MT,5,0,4.0,1.0,2.0,,,,,,,13280.0,,,,,,,,,,,,,,36.0,36.0,6.0,0.0,10.0,0.0,0.0,54.285714285714285
445054,Toyota Technological Institute at Chicago,IL,9,0,3.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,39.0,0.0,,0.0,0.0,0.0,7.0,60.0
200697,Air Force Institute of Technology-Graduate School of Engineering & Management,OH,9,0,1.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,1070.0,0.0,,0.0,0.0,271.0,33.0,60.0
493363,Institute of Lutheran Theology,SD,9,0,3.0,1.0,1.0,,,,,,,12800.0,,,,,,,,,,,,,,,,,1.0,0.0,11.0,4.0,62.857142857142854
260813,Platt College-Aurora,CO,5,0,2.0,1.0,2.0,,,,,,,20957.0,,,,,,,,,,,,,,,,,0.0,85.0,0.0,0.0,62.857142857142854
494597,Faith Theological Seminary and Christian College,FL,9,0,4.0,1.0,1.0,,,,,,,1320.0,,,,,,,,,,,,,,,,,10.0,26.0,7.0,3.0,62.857142857142854
193894,New York Theological Seminary,NY,9,0,4.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33.0,10.0,65.71428571428571
210508,Academy of Vocal Arts,PA,6,0,3.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,65.71428571428571
167464,Pope St John XXIII National Seminary,MA,7,0,4.0,2.0,-2.0,,,,,,,,,,,,,,,,,34.0,3532292.0,,27.0,,,,,,,,68.57142857142857
475237,The University of America,CA,9,0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14285714285715
483221,Learnet Academy Inc,CA,7,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14285714285715
195234,The College of Saint Rose,NY,8,0,3.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14285714285715
206817,Bacone College,OK,5,0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14285714285715
475477,City College-Hollywood,FL,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71428571428571
130110,Paier College,CT,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71428571428571
429094,AOMA Graduate School of Integrative Medicine,TX,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71428571428571
