,INSTNM
29,United States Sports University
35,Charter College
39,Cochise County Community College District
40,Eastern Arizona College
43,Glendale Community College
45,GateWay Community College
46,Mesa Community College
49,Northland Pioneer College
50,Phoenix College
51,Pima Medical Institute-Tucson
53,Rio Salado College
54,Scottsdale Community College
55,South Mountain Community College
57,Yavapai College
82,Berkeley School of Theology
84,Antelope Valley Community College District
90,Bryan University
98,Alliant International University-San Diego
122,Haven University
126,Casa Loma College-Los Angeles
137,Crafton Hills College
138,Cypress College
143,FIDM-Fashion Institute of Design & Merchandising
147,Foothill College
149,Fresno City College
152,Glendale Career College
159,Interior Designers Institute
169,Southern California University of Health Sciences
170,Los Angeles Valley College
172,Los Angeles Mission College
175,Northeastern University Oakland
179,Moorpark College
185,San Francisco Bay University
191,Pacific Oaks College
200,Santa Ana College
203,Rio Hondo College
213,San Joaquin Valley College-Visalia
221,Shasta College
224,Skyline College
226,Solano Community College
235,Taft College
240,Walden University
241,West Los Angeles College
242,Carrington College-Sacramento
251,Aims Community College
252,Arapahoe Community College
258,Concorde Career College-Aurora
260,Colorado Northwestern Community College
264,Community College of Denver
268,Front Range Community College
272,Morgan Community College
274,Nazarene Bible College
276,Pikes Peak State College
277,Pueblo Community College
278,Red Rocks Community College
281,Montessori Education Center of the Rockies
283,Trinidad State College
293,Goodwin University
312,Delaware Technical Community College-Terry
332,Eastern Florida State College
333,Broward College
335,College of Central Florida
337,Chipola College
338,Daytona State College
341,Florida SouthWestern State College
346,Florida State College at Jacksonville
352,The College of the Florida Keys
358,Gulf Coast State College
359,Hillsborough Community College
361,Indian River State College
364,Florida Gateway College
365,Lake-Sumter State College
366,Luther Rice College & Seminary
367,State College of Florida-Manatee-Sarasota
368,Miami Dade College
370,North Florida College
373,Northwest Florida State College
375,Palm Beach State College
376,Pasco-Hernando State College
377,Pensacola State College
378,Polk State College
383,St Petersburg College
384,Santa Fe College
385,Seminole State College of Florida
387,Saint Johns River State College
388,South Florida State College
393,Tallahassee State College
398,Valencia College
470,College of Southern Idaho
472,American Islamic College
482,The Chicago School at Chicago
546,Saint Anthony College of Nursing
588,Mid-America College of Funeral Service
617,Orion Technical College
632,St Luke's College
644,Donnelly College
649,Haskell Indian Nations University
651,Concorde Career College-Kansas City
683,American National University-Pikeville
700,Sullivan University
732,Beal University
734,Maine College of Health Professions
794,Laboure College of Healthcare
816,Longy School of Music of Bard College
838,Quincy College
843,Bard College at Simon's Rock
882,Henry Ford College
904,Schoolcraft Community College District
927,Mayo Clinic College of Medicine and Science
938,Northwestern Health Sciences University
949,Rasmussen University-Minnesota
970,Wesley Biblical Seminary
991,Ozarks Technical Community College
1023,Saint Louis Community College
1035,Blackfeet Community College
1038,Aaniiih Nakoda College
1060,Nebraska Indian Community College
1065,Summit Christian College
1070,College of Southern Nevada
1071,Las Vegas College
1075,Truckee Meadows Community College
1076,Western Nevada College
1091,Eastwick College-Hackensack
1124,Thomas Edison State University
1140,Bryant & Stratton College-Albany
1156,Bryant & Stratton College-Buffalo
1157,Bryant & Stratton College-Greece
1173,CUNY Graduate School and University Center
