UNITID,INSTNM_IPEDS,CITY,STABBR,INSTNM_SCORECARD,CONTROL,_merge
100733,University of Alabama System Office,Tuscaloosa,AL,,,left_only
103529,University of Alaska System of Higher Education,Fairbanks,AK,,,left_only
105136,Maricopa Community College System Office,Tempe,AZ,,,left_only
105367,Ottawa University-Phoenix,Phoenix,AZ,,,left_only
106360,Arthur's Beauty College,Fort Smith,AR,,,left_only
106892,Eastern College of Health Vocations-Little Rock,Little Rock,AR,,,left_only
108056,University of Arkansas System Office,Little Rock,AR,,,left_only
109086,American Conservatory Theater,San Francisco,CA,,,left_only
109730,Associated Technical College-San Diego,San Diego,CA,,,left_only
110501,California State University-Chancellors Office,Long Beach,CA,,,left_only
110918,California Christian College,Fresno,CA,,,left_only
112376,Coast Community College District Office,Costa Mesa,CA,,,left_only
112817,Contra Costa Community College District Office,Martinez,CA,,,left_only
113537,Dell'Arte International School of Physical Theatre,Blue Lake,CA,,,left_only
114123,Empire College,Santa Rosa,CA,,,left_only
114831,Foothill-De Anza Community College District,Los Altos Hills,CA,,,left_only
115287,Grossmont-Cuyamaca Community College District,El Cajon,CA,,,left_only
115728,Holy Names University,Oakland,CA,,,left_only
116350,International School of Cosmetology,Los Angeles,CA,,,left_only
117681,Los Angeles Community College District Office,Los Angeles,CA,,,left_only
117900,Los Rios Community College District Office,Sacramento,CA,,,left_only
118541,Marymount California University,Rancho Palos Verdes,CA,,,left_only
118888,Mills College at Northeastern University,Oakland,CA,,,left_only
120023,North Orange County Community College District,Anaheim,CA,,,left_only
121178,Peralta Community College System Office,Oakland,CA,,,left_only
121275,Platt College-San Diego,San Diego,CA,,,left_only
122320,San Diego Community College District-District Office,San Diego,CA,,,left_only
122454,San Francisco Art Institute,San Francisco,CA,,,left_only
122737,San Jose-Evergreen Community College District,San Jose,CA,,,left_only
122782,San Mateo County Community College District Office,San Mateo,CA,,,left_only
122834,Santa Barbara Business College-Bakersfield,Bakersfield,CA,,,left_only
123925,State Center Community College District,Fresno,CA,,,left_only
124557,University of California-System Administration Central Office,Oakland,CA,,,left_only
125019,Ventura County Community College System Office,Camarillo,CA,,,left_only
125222,West Valley Mission Community College District Office,Saratoga,CA,,,left_only
126100,Yosemite Community College District Office,Modesto,CA,,,left_only
126164,The Salon Professional Academy-Grand Junction,Grand Junction,CO,,,left_only
128300,University of Colorado System Office,Denver,CO,,,left_only
129428,Rensselaer at Hartford,Hartford,CT,,,left_only
130110,Paier College,Bridgeport,CT,,,left_only
130509,Stone Academy-West Haven,West Haven,CT,,,left_only
130882,Delaware Technical Community College-Central Office,Dover,DE,,,left_only
133942,Florida Institute of Ultrasound Inc,Pensacola,FL,,,left_only
133997,Florida Career College-Miami,Miami,FL,,,left_only
134811,AI Miami International University of Art and Design,Miami,FL,,,left_only
135610,Trinity International University-Florida,Miami,FL,,,left_only
137801,Altierus Career College-Tampa,Tampa,FL,,,left_only
138813,The Art Institute of Atlanta,Atlanta,GA,,,left_only
141015,The Creative Circus,Atlanta,GA,,,left_only
141963,University of Hawaii System Office,Honolulu,HI,,,left_only
142416,Mr Leon's School of Hair Design-Moscow,Moscow,ID,,,left_only
142887,American Academy of Art College,Chicago,IL,,,left_only
143482,Cannella School of Hair Design-Chicago,Chicago,IL,,,left_only
144500,City Colleges of Chicago-District Office,Chicago,IL,,,left_only
144777,DeVry University-Administrative Office,Naperville,IL,,,left_only
146667,Lincoln Christian University,Lincoln,IL,,,left_only
146676,Lincoln College,Lincoln,IL,,,left_only
148955,National Latino Education Institute,Chicago,IL,,,left_only
149240,Southern Illinois University-System Office,Carbondale,IL,,,left_only
149499,Tri-County Beauty Academy,LITCHFIELD,IL,,,left_only
149587,University of Illinois System Offices,Urbana,IL,,,left_only
149763,Oak Point University,Oak Brook,IL,,,left_only
153621,Iowa Wesleyan University,Mount Pleasant,IA,,,left_only
154165,Iowa School of Beauty-Ottumwa,Ottumwa,IA,,,left_only
156277,Barrett and Company School of Hair Design,Nicholasville,KY,,,left_only
157854,Kentucky Community and Technical College System,Versailles,KY,,,left_only
158343,Baton Rouge School of Computers,Baton Rouge,LA,,,left_only
160117,Pat Goins Benton Road Beauty School,Shreveport,LA,,,left_only
160533,Southern University-Board and System,Baton Rouge,LA,,,left_only
161280,University of Maine-System Central Office,Orono,ME,,,left_only
164146,University System of Maryland,Baltimore,MD,,,left_only
164641,Bay State College,Boston,MA,,,left_only
164845,Empire Beauty School-Boston,Boston,MA,,,left_only
165556,Lincoln Technical Institute-Somerville,Somerville,MA,,,left_only
166665,University of Massachusetts-Central Office,Boston,MA,,,left_only
167455,Pine Manor College,Chestnut Hill,MA,,,left_only
172440,Finlandia University,Hancock,MI,,,left_only
173470,Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,,,left_only
173805,Minnesota North College - Itasca,Grand Rapids,MN,,,left_only
173993,Minnesota North College - Mesabi Range Virginia,Virginia,MN,,,left_only
174604,Minnesota North College - Rainy River,International Falls,MN,,,left_only
175157,Minnesota North College - Vermilion,Ely,MN,,,left_only
175999,Board of Trustees-Mississippi State Institutions of Higher Learning,Jackson,MS,,,left_only
177870,Lake Career and Technical Center,Camdenton,MO,,,left_only
178004,Lutheran School of Nursing,Saint Louis,MO,,,left_only
178439,University of Missouri-System Office,Columbia,MO,,,left_only
179052,Rolla Technical Institute/Center,Rolla,MO,,,left_only
179229,American College of Hair Design Inc,Sedalia,MO,,,left_only
179256,Saint Louis Christian College,Florissant,MO,,,left_only
180717,Yellowstone Christian College,Billings,MT,,,left_only
